user_location,text,label
USA,RT @ukasz13826888: Shirakawa-go Japan #podróże #adventure #traveler #traveling #photooftheday #travelphoto #photography #photos #blog #trip…,0
"Quezon City, PHILIPPINES","Thunderstorm Advisory No. 6 #NCR_PRSD Issued at: 10:00 PM, 14 June 2025(Saturday) Moderate to heavy rainshowers with lightning and strong winds are expected over Tarlac, Nueva Ecija, Pampanga, Zambales and Quezon within the next 3 hours. All are advised to take precautionary https://t.co/5Xqnc7xQBE",1
,Bugnaw na just,1
Republic of the Philippines,"Paglilinis ng Metropolitan Manila Development Authority (MMDA) sa mga creek at estero sa Caloocan City, puspusan na bilang paghahanda sa baha ngayong tag-ulan. | via @allangatus https://t.co/cg0wRtkILi",1
,@BTC__Sunny 0x5c0b6d43babcb7ef9aa59724bcbc404b45ba5a0a,0
Republic of the Philippines,"RT @mspatatascorner: ayaw na ata ng mga paksiw ng season 2, kasi nasampal na sila ng katotohanan na hindi lang sabit si daniel ehe 😝 ANDRE…",0
comms closed ⟡ rrbyf!,legit reseller ba yung beyond the box? bought a lightning cable kasi sakanila wala pang 6mos medj nagloloko na :(,0
Republika ng Pilipinas,"@9mmclips Hindi ba pwedeng ""the calm before the ""storm"" in September 2025. Sana please!!!!",0
Makati,"‘CONGRATULATIONS TWINNY’ Ipinakita ni Maxie Andreison, winner ng “Drag Race Philippines” Season 3, ang kanilang mga larawan kasama ang kanyang kapatid na si Angel Galang matapos dumalo sa kasal nina social media personality Zeinab Harake at Filipino-American basketball player https://t.co/Eg2q1b4jkf",0
Not a minor,"RT @wansoomin: wts lfb ph The 39 Clues Pre-loved Books •take all, get 2 free books •PAYO IF TINGI •DOP if set 50% nrdp, 2 weeks rb •x sen…",0
kongu Naadu,@BasheerAhm49289 Apparam yen da siya n sunny aduchukurega,0
Kidney for sale!!!!,Balik sakuna na naman ako sa Monday woooh,0
,RT @desahanikmat2: JUQ-916 Sumire Mizukawa Proses Wede Kilat ⚡️ https://t.co/nWzCEnFAEn https://t.co/hAkZmA0MNd,0
Faisalabad,@ItxEmaa 46 temperature.Faisalabad,0
Thailand,RT @kris_arin: Kaya pala wala pa yung kasunod na season. Busy siya sa esbi 😭 @SB19Official #SB19 #SB19xBBPilipinas2025 https://t.co/oMULYK…,0
,"#CongressNews | PBBM, nakiisa sa pagdiriwang ng ika-127 Araw ng Kalayaan #Congresstvdigital #congresstv #PBBM #arawngkalayaan #independenceday #Philippines #bagongpilipinas https://t.co/mHu0u618vT",0
India,उफ्फ गर्मी... क्या है फील लाइक टेंपरेचर जो दिल्ली-NCR वाले 49 डिग्री तक झेल रहे? #Delhi #DelhiNCR #WratherUpdate https://t.co/dDeXhSGUA1,0
,"""Malamig na ang kape, magtimpla na tayo ng bago"" - Sir Coco 🥺💛",0
,RT @eq_map_es: 【M4.4】ISLAS SANTA CRUZ 114.2km 15/06/2025 08:40:33 UTC #Sismo #Terremoto (G)https://t.co/A1dxHUF6W7 (USGS)https://t.co/5wczD…,0
"Texas, USA","RT @arseniamorgan42: Another volcanic eruption in my native land. Bacolod City, Negros Occidental Philippines. Please pray for everyone aff…",1
,"✨Wardah Nature Daily Hydramild Toner Essence ✨ In this economy! TONER murcee tapi ga murahan dan isinya banyakk banget 😭 non-alcohol, dermatologically tested, pH balance, paraben free, 100% ekstrak aloevera ✅ https://t.co/HBiGAzmPTD",0
Philippines,"While we’re bundled up for winter here in Australia, Manila’s heat is about to get even hotter with Drake Palma! D-3 countdown on Seducing Drake Palma? Learn how to Seduce Drake Palma on June 15 only on #VivaOnePH 💋 🏷 #RabinAngeles | #SeducingDrakePalma | #SDP https://t.co/U3b60VevQL",0
EXO NCT SVT TRSR THFC KMJ T1,anh tawa ko talaga HAHAHAHAHAHHAA 😭 sabi na kapag si Jiyeon ang magluluto eh failed talaga 😭 from sunny side up to scrambled egg real quick 😭😂😂😂😂😂 https://t.co/MJYGcmdSlB,0
"Accra, Ghana",@gib_smoke Abiba,0
234,"Umay sa thunder, tinamaan lahat bukod sa nilagyan ko ng lightning rod. 😤",0
DRPS PHCA,"#DRPSOne: Archive: Mitsubishi Motors' Bring On The Heat Promo Digital Ad Q2 2025 15s (Philippines) [HD/ST] DTI FTEB-222087/s.25 PHCA CID PHCA-2025H1-9170/June 13, 2025 https://t.co/gleLNccKXY",0
Philippines,"#WeatherAlert: Zambales, Bataan, and Occidental Mindoro are expected to have heavy to intense rain from the southwest monsoon on Wednesday, June 11. https://t.co/ESd3ZmKMif",1
"Somewhere, over the rainbow","@NahuelDraws Acá, en este ph de 40 m en Mataderos, no entramos las dos humanas, el gato y unos fantasmas. Es una cuestión de espacio",0
,"RT @Lada_lyumosCOS: 😼 Elf by nature, tease by choice 😼 Ph: ph_mosienko https://t.co/JDtdaZlFlD",0
,"@hlabhlabhlab @PinoyAkoBlog Sino nga ulit mayor ng Davao nung mga pagbaha, @hlabhlabhlab ? Yung kuya ng wake and bake? https://t.co/CO8OhmKXzg",1
,"RT @JanaRose85474: Grabeeeee, hustooo na. Huhu #YbraAmihanHanggangWakas IVO LIVE AMIHAN https://t.co/0XHW317jyg",0
,tugnaw ngari but... hugaw lang? #altercebu https://t.co/r8K1zZxu1l,1
,@ashydrezzi Tirik na tirik kasi yung sikat ng araw para kay ashtine hahahaha..,0
USA,"@wayneyap Naw, too humid!😓",1
"Quezon City, PHILIPPINES","Thunderstorm Advisory No. 1 #NCR_PRSD Issued at: 11:18 AM, 14 June 2025(Saturday) Moderate to heavy rainshowers with lightning and strong winds are expected over Bulacan, Rizal, Quezon and Nueva Ecija within the next 2 hours. All are advised to take precautionary measures https://t.co/8qJlKUvPQl",1
"Zurich, Switzerland",@mitchellvii Landslide? Bhahaha,0
,@jmkleeronx idagdag pa natin ung mga perang kinita nila dahil kay ralph. 4 eviction landslide wildcard,0
,@PoliceFCKE If you heat your head Kwa ukuta za cell na nguvu ivyo inaweza kuwa suicide 👀,0
Horn of Africa,@oxygen_breeze Somaliland Project. Hargays. Meesha waxba majiraan,0
"Quezon City, Philippines 1101","#EarthquakePH #EarthquakeQuezon Earthquake Information No.1 Date and Time: 16 June 2025 - 03:29 AM Magnitude = 1.6 Depth = 037 km Location = 14.73°N, 121.42°E - 022 km S 82° W of General Nakar (Quezon) https://t.co/MVHdngEKWu https://t.co/6RtQ3JLMs5",1
Mexico,RT @Whitewolf8784: I think the best pairing for the Fallout 1st NCR Ranger outfit would have to be the sharpshooter power armor that we get…,0
,RT @MumshieHwang: Tara let's sing Ambooon amboooon ambon again again 🌧 I'm letting go 1 Gold ticket. I'm selling at cost. 📹 GOLD Center.…,0
"India, Delhi/Haryana/UP/Mumbai","Weather warning: 16-17th June •Good Intensity storms with t-storm, Gusty winds and moderate to heavy rain is expected in #Haryana, #Rajasthan, 25-50% parts of #Delhi &amp; #NCR, #WestCoast, #Mumbai, #Konkan, #Balsad, #Ratnagiri, Ghats, #Gujarat and bits of East India and Himachal https://t.co/2eE6uyA5Rc",1
Republic of the Philippines,RT @Unos61990807: Cold Friday night. SOLO ATL SNAPS #BGYO_AllTheseLadies #BGYO @bgyo_ph https://t.co/Vb678mKQJE,1
Metro Manila,"Pinagtuunan ng pansin ng MMDA Special Operations Group-Strike Force sa kanilang clearing operations ngayong araw, Hunyo 10, ang mga complaint areas sa ilang pangunahing kalsada sa Metro Manila. Sinimulan ang operasyon kaninang umaga sa Pedro Gil, U.N. Avenue, at Tramo Road kung https://t.co/TwjUXnhDFk",0
,RT @echomorenolast: ✨NEW VIDEO✨ gantong mainit ang panahon dapat sinasabayan haha kaya nag paputok ako ng bomba🥲 haha fullvideo available…,1
"Bordeaux, France.","@giardeya hahaha beneeer. i'm not okaay, lots of bad energy attached. jadinya gloomy huhuhu. not yet, kamu udah?",0
"Makati City, NCR, PH","RT @dzbb: As of 3:00PM, @dost_pagasa, naglabas ng thunderstorm advisory na makakaapekto sa Laguna, Batangas, Rizal, Metro Manila, Bulacan a…",1
,"Di ko magets yung porma na naka-longsleeves ka tapos may sweatshirt ka pa. Teh, sobrang lamig ba sa Pinas? HAHAHAHAHAHAHA",0
Manila,"8 years ago, Team Philippines took down Vietnam in four explosive sets. Since then, we’ve never won against them in AVC history. It’s time to end the drought. Break the Vietnam Curse, ALAS! 🏐🔥🇵🇭 #AVC2025 #AVCNationsCup2025 https://t.co/8d9b2LG6tk",0
Republic of the Philippines,"Inihayag ng Philippine Atmospheric, Geophysical and Astronomical Services Administration (Pagasa) na asahan ang mga pag ulan sa bansa sa Hunyo 12, Araw ng Kalayaan dulot ng southwest monsoon o habagat. https://t.co/uWpM9xHen0",1
20 | ദ്ദി^⚯^,@95JNGHN Humanda k sa july 19 dadala ako ng bagyo para sayo,0
"Purwokerto Barat, Indonesia",@rizkibahari_66 @lsdjun @ManHunt09 @rise_chain @rise_ecosystem @RiceIndo I got u twice hahahahhahahahaha,0
"Barcelona, España",RT @pildorashispan: #TalDíaComoHoy de 1565 el «San Pedro» llega a Acapulco desde Manila. Por primera vez se lograba con éxito el tornavia…,0
Islang Pantropiko,Walang lalak- este pollution sa ibang bansa ✨️ eme hahahha https://t.co/1PMkUpT9uU,0
Worldwide,"🤔 How can we support environmental protection and scale local victories into systemic climate policy change? 💪 The @UN Ocean Conference is a moment to amplify people-centered #ClimateJustice strategies. From the Philippines 🇵🇭 to Brazil 🇧🇷, grassroots legal empowerment is https://t.co/9iEdzHXOup",0
nairobi,@ericomondi_ Sisi kwa sisi ni genuine. No amount of mudslide prove otherwise,0
,Medyo mahangin ahhhhh hahaha,1
,"@balak__desi ""inescapable visibility"" lmao padosi tak ko stranger lagta hu 😭",0
,RT @sjtibs07: Hindi po papalag Ma'aeem!! RAIN CELMAR | #RainCelmar https://t.co/hAUEqEqtfI,0
Republic of the Philippines,"Start na talaga ng real pbb game🤭 grabe parin ba init sa NCR? Bet ko sana yung sa labas sila matutulog tapos limited lang resources nila haha. Tong season na to, soafer baby sila ng pbb. Kahit talo sila sa weekly task &amp; walang budget, may sponsored foods &amp; drinks parin https://t.co/r2TVVLhVa5",0
,"RT @rwdleon: #RaWi on becoming this season’s BW Ralph: Hindi na ako magtatago talaga, I wanna reach big night. Will: Ayaw ko na rin talaga…",0
"Port Area, Manila",WEATHER https://t.co/N8cnU7AehZ,0
,"Study on the go! No exams. Just course work &amp; project assignments. See our disciplinary Bachelors, Masters, Ph.D. and Executive Programmes. Apply now @ https://t.co/h81zIheynf CypressArk College! A Climate &amp; Sustainability School. . #climatejustice #climatecontrol https://t.co/7ANkAIRj5t",0
,"RT @ZaynJah13: It’s raining here in Legazpi! Grabe kayo esbi, binigyan kayo at tayo ng mainit at magandang panahon kahapon the whole day. 🥹…",1
Thank you Techno,https://t.co/B1fTpvrhHi Bagyo sa pinas bike ride,1
Philippines,RT @MJ_Lastimosa: Maulan at makulimlim szn. Ready nako mag emo sa bintana.,1
BNK,"@agdsugabear yes mhie ang gloomy nga ni ssob, nagkakulay lang nung flying kiss 🥹",0
Japan,"According to the Japan Meteorological Agency, Typhoon Wu-Tip formed in the South China Sea west of the Philippines at around 9:00 a.m. on the 11th. https://t.co/NubFfgHEoM",0
"Rehiyon ng CALABARZON, Republi","Eh kasi ba naman alam ng madla at ilan sa mga kongresista ang nagsabing ""no signature no fund"" so by nature it is null and void corrupted impeachment complaint that needs no litigation... return to sender. https://t.co/2ghoPHbGTK",0
non of your damn business,plan ko pa naman mag buy ip 15 plus pero mag release napod apple og ip 17. Idk nag save gyud ko para maka balik ko sa apple ecosystem kay panget gyud android 😭,0
oonda kaba??,maaari ngayon pabor pa senyo pero baka bukas sakin naman o sa mga susunod man na araw.,0
Philippines,Soafer anxiety si anteh mo the other day flying to Manila bc of the Air India disaster and soafer anxiety na naman today bc we had a roundabout to Tacloban due to bad weather 🥲 Magaling talaga it mga pilot hit @flyPAL 🤧,1
India,"More #rain and #thunderstorm activity is expected on Sunday (June 15), with the possibility of #hailstorms in isolated areas: #IMD Read: https://t.co/7HbY7fg3aO",1
,"RT @misspaguirigan: @LiLoX23Hellion @SB19Official Temperature ng aircon namin sa school sa pagkakatanda ko ay 22 or 18? Sobrang lamig, eh.…",0
Quezon City,"The Department of Tourism welcomed the latest economic forecast of the World Travel and Tourism Council (WTTC) for the https://t.co/dbmmscxcGa its 2025 Economic Impact Research, the WTTC said the tourism sector is projected to inject PHP5.9 trillion into the national economy this",0
Up North,@evansac14 @gazcon You're misunderstanding his point. He's talking about localized flooding that local authorities blame on climate change when really it's down to their neglect. He's not suggesting that his blocked drain causes typhoons in the Philippines 😩,0
"Makati, PH","Halos 11,000 pulis, ipinakalat para sa seguridad ngayong Araw ng Kalayaan sa Metro Manila @BNFMCathAustria https://t.co/8qxdXemY4t",0
she/her,i wonder if the avemuji seiyuus felt the immense heat in the philippines,1
,"📍 45 km ENE of Onagawa Chō, Japan 📏 Magnitude: M5 | Depth: 55.039 km 📅 2025-06-14 🕐 10:47:01 UTC 📡 Reported by USGS. Stay safe. #earthquake",1
In The Eyes Of The Beholder,"@gunsnrosesgirl3 I remember I made this aloe Vera dildo 😂😂😂 had removed the leaf from the gel &amp; Saran Wrap them together &amp; froze it. It was so amazing… until it thawed out. Chill sensation, aloe Vera natural lube &amp; good for ph balance. 🐱 was on tsunami for like 2 weeks…. Good times 😌 https://t.co/aQ5Z8amIce",0
Rio DeLuca,Gagi meron na sila yung boxset nung windy eh dalawa nalang kulang ko pano ba yan 😭,0
,"Ayon kay Padilla, may mga itinalaga nang disaster response teams sa mga high-risk areas para agad na makaresponde kung sakaling may pagbaha, pagguho, o iba pang sakuna.",1
"Angeles City, Central Luzon",Sana maganda weather ng wednesday🙏,0
,@TxmwP4MYZnZ1kPO @NIAOBGE @BTC__Sunny @Tyx1688 @0xA96 0xa5c99e76cbd796fb9ccc90f26f66e18ccc15b1bb,0
Philippines,"RT @dzrhnews: WEATHER ALERT: Asahan ang heavy to intense rains sa Zambales, Bataan, Batangas, Rizal, Quezon, at Nueva Ecija sa susunod na d…",1
nayeon's hands,song so good it caused an earthquake on the Philippines on its release hour https://t.co/WPmzbAWkzw,0
,@not_ur_man12 perfect isubo sa gloomy weather Dito sa Baguio🤤,1
the Philippines,"@teslaownersSV some company is seeking to put solar panels on top of our valuable rice fields here in Luzon. We are organic, so I wonder about heavy metal pollution in run off from neighbors who are doing this.",0
,-Zambales -Tarlac -Nueva Ecija Posible ang biglaang pagbaha at landslide sa oras ng thunderstorm. (Source: PAGASA) [2/2],1
,"RT @Official_ALAMAT: Maligayang Araw ng Kasarinlan, Pilipinas! 🇵🇭 Dahil pusong mandirigma ang ating lahi — ‘Di papakutya, ‘di papapugong ‘…",0
,"Crypto market storm! 📉 BTC falls to ~$107k on news of Trump's tariffs &amp; the Philippines introducing exchange licenses. Over $300M liquidated in 24h. Incrypted Conference coming up June 14! Hold tight, crypto fam! #crypto #bitcoin #news https://t.co/bC0c939SFI",0
"Jambi, Indonesia",RT @kenjak01: Miss ko na init ng bibig mo🥺 https://t.co/KHjIJXfDkn,0
United States,RT @Blazo101: HOT AIR RISES THE GASEOUS ECOSYSTEM PREVAILS @FartcoinFather @FartCoinOfSOL @FartCatOfSol $BOB 💨$FARTCOIN💨$FARTCAT 3Bu5H…,0
,RT @altermidya: 'Kailangang ilantad ang tunay na katangian ng US' Ito ang sagot ni Ronnel Arambulo ng Pambansang Lakas ng Kilusang Mamamal…,0
,sarap tlga ng cold windy cloudy whether lamegh,1
,JoongDunk’s dynamic presence boosts brand visibility worldwide. JOONGDUNK SHABUSHI SUGOI #JoongDunk #จุงดัง #JoongArchen #dunknatachai,0
,@GISS88648452 @malisorn00 Perfect outfit for Philippines hehehehe it's hot here even if it's rainy season. #FayePeraya,1
"New Delhi, India","कल का मौसम 16 June 2025 : काले बादलों ने भरी उड़ान, आंधी-बारिश से मौसम होगा खराब; ओलावृष्टि-वज्रपात का अलर्ट #Weather #UPWeather #WeatherReport https://t.co/D4gfbndcol",0
Across Basins,"RT @PAGASAFFWS: General Flood Advisories Issued @6AM, 10 June 2025 Region 6 (Western Visayas) GFA#13 Region 8 (Eastern Visayas) GFA#9 Regi…",1
,@dost_pagasa Humidity dito sa laguna 34° wala naman ulan,1
,RT @itsariestdc1: Bella Belen’s rise in volleyball is both commendable &amp; symbolic. She was one of the key players who ended NU’s 65-year ti…,0
,RT @Janeee_Tan28: At nag landslide nga ang votes ng dalawa :)) eyyyy lakas naman namin sayo Lord DUSBI SAFE TONIGHT,0
,"LINOG ALERT! Earthquake Information No.1 Date and Time : 12 Jun 2025 - 07:18:35 AM Magnitude : Ms 2.6 Depth : 085 km Location : 06.10°N, 126.43°E - 074 km S 33° E of Governor Generoso (Davao Oriental) Early Warning, Early Action! https://t.co/H13WP0WejM",1
,Malinaw pa sa sikat ng araw. RaWi and ShuKla since day one ng final duo announcement. https://t.co/BbXF5rDccg,0
"India, Delhi/Haryana/UP/Mumbai","Weather warning: 16-17th June •Good Intensity storms with t-storm, Gusty winds and moderate to heavy rain is expected in #Haryana, #Rajasthan, 25-50% parts of #Delhi &amp; #NCR, #WestCoast, #Mumbai, #Konkan, #Balsad, #Ratnagiri, Ghats, #Gujarat and bits of East India and Himachal https://t.co/2eE6uyA5Rc",1
Saudi Arabia,@altGenie @risahontiveros Akala ko Hail Liza 🤭,0
,RT @HEYneral: Salamat sa mainit na butas sa malamig na panahon💦💦 https://t.co/k0RBa6erOm,1
,"@IdolRaffyTulfo @QCGov @QCMayorJoy @ARTAgovph @Idolraffyishere @risahontiveros May nagsumbong kasi na mga taga sunny villas, kaya sila lang tinarget. Wala naman clamping sa ibang lugar. Personalan kasi binulgar korapsyon. Nagsumbong sa Qcgov tapos inalam ng lgu taga saan. Ayos! https://t.co/6307potCSn",0
"filo, (19)","Ganto pala ang pilipinas, mausok,maingay at puno ng pangarap '.... https://t.co/W0VLigluBk",0
"Lungsod ng Maynila, Pambansang",RT @jonimar_vega: ANGKAS - Season 2 PART 2 So ayun nagbook ulit ako ng rider na pa-booking sa Facebook group. Ang sarap nya legit na stra…,0
,"RT @Geology_History: June 11, 1991, Mount Pinatubo on the Philippines erupts. It is the second-largest eruption in the 20th century Reporte…",1
"Brgy. Mali-ao, Pavia, Iloilo","With the onset of the rainy season, the Office of Civil Defense (OCD) has sounded the alarm, calling on all local government units (LGUs) in Western Visayas to immediately inspect, improve, and update their flood control systems. https://t.co/OcH0nYFpFw",1
Delhi,"RT @omchaturvedi195: @ZolostaysC Staying in sharing room 611A Zolo frontier PG, rugularly asking Manager to install AC in room or provide…",0
Makati,"Matapos ang isang makabuluhang komperensya sa UP Visayas - Pandan, inimbitahan ko ang mga kinatawan ng Climate Change Commission (CCC), UP Marine Science Institute (UP-MSI), RARE Philippines, at mga opisyal ng lokal na pamahalaan upang makiisa sa aktibidad ng ating forest rangers https://t.co/fYXs73JeVL",0
Delululand,Feeling ko isang araw mawawala nalang ako sa sarili at tutulala. Kung wala akong anak baka matagal na akong pagala gala sa daan kasi siya nalang dahilan ko para di sumuko. Yung panahon talagang ayaw umayon kahit anong tumbling ko. Gulong gulo na ako di ko na alam san ako papunta,0
Bangalore,"Saturday afternoon rain 🌧️ 📍 #Singayyanapalya Metro 🚇, Bangalore 🏙️ #BengaluruRains #Bengaluru #BengaluruRain #BangaloreRains #Bangalore #bangaloreRain #bengalururains #metro #NammaMetro #heatwave #climate #bangalorerains #bangaloreRain #bengalururains #BengaluruRain https://t.co/ndslyjPJnf",0
"Manila, Philippines","Metro Manila, ilang kalapit kalalawigan binaha matapos maranasan ang malakas na ulan dulot ng Habagat at LPA #MagandangUmagaPilipinas",1
,"sobrang laki ng tampo ko sa'yo, mula ro'n sa araw na may nag message sa'kin naisip ko kaagad ""wala kasi akong bakas eh, walang confirmation kaya siguro gano'n 'yung nangyari""",0
🇦🇺,"The Storm hasn't actually formed yet, there is a Low Pressure System, West of the Philippines in the South China Sea and is expected to grow and move N/W towards East #Hainan then on to Southern #Guangdong area in about 5 days from now The GFS modelling says a strong Typhoon",1
,hieeh ka tugnaw,1
Republic of the Philippines,"Too cold if aircon is on, too hot if it's fan only. Paano na makakatulog niyan 😭😭😭",0
,magsisimula na ang delubyo bukas,0
New Delhi,"ड्यूटी पर सफाई कर्मचारी की गर्मी से मौत, AAP ने कहा- भाजपा सरकार का हीट एक्शन प्लान फेल @AamAadmiParty @AtishiAAP #delhincr #delhi #AamAadmiParty @navodayatimes13 #sanitationworker https://t.co/Lb9jqrovRN",0
she/her,@streptarococcus legit yan ganyan sya katulad ni alikabok kaya napamahal na dn si B kasi tatay figure kumbaga CHARENG,0
"Western Visayas, Republic of t",RT @khaloy69: DADDY WAREHOUSE Part 3 Halos makakabuo na si bunso at si 48 years old na Daddy sa init ng bed scene nila. Gigil na gigil si…,0
United States,RT @AngeloN64575164: @GuntherEagleman Hail Queef Kalama 😂,0
"Cebu City, Central Visayas",@95JNGHN Humanda k sa july 19 dadala ako ng bagyo para sayo,0
,Pa gising na sila ok kayo naman mag bantay nang kalikasan,0
"New Delhi, India","@ankitatIIMA Because people are used to out of habit so they found difficult to tolerate summer hot, I am with my family living in ncr and even not dependent on ac kind of things .. we must allow our body to adjust. We should encourage grean environment in surrounding.",1
,"Delhi-NCR was rocked by fierce pre-dawn storms: winds hit 104 km/hr, temps plunged 8°C in 2 hrs, and hail lashed parts of the city. IMD warns of more rain, storms, and possible hail till noon. Red alert in place. 🌩️🌧️ https://t.co/xfJ5up7raq",1
,I was vibing like crazy while listening to hobi’s 1vers tapos biglang pumasok si mama sa kwarto ko na may dalang usok 😭 nag insenso sya!! Jusko po patawarin 😭,0
Philippines,"At this year’s Philippine Blockchain Week, Santosh Vishwasrao took the spotlight to present #XDCPayments, highlighting how the platform is transforming the future of cross-border payments not only in the #Philippines, but across the global financial ecosystem. #PBW2025 #XDC https://t.co/aSJcN3pcuk",0
,@lerryMAICHARD On d contrary daming naniniwala at tayo pa pnagsasabihang delulus khit big news yung nangyari sa Baguio. How on earth were they able2go up during a typhoon&amp;all roads up r closed due2landslides.Dag2 p no kuryente.Paano nila natelevised ng live? #BOYCOTTEatBulaga1558,1
India,@shaikhzahir370 @CMOMaharashtra @WeAreNashik @my_nmc @nashikpolice Ani yat state transport chya bus cha pan samavesh asel.Bhau he pollution nahi karat pollution fakth public karte,0
🇨🇦,"I call the blue bin the ""Philippines"" bin. Not as a pejorative, but as a reminder of a sad reality. This isn't actual climate policy. This is placation. Greenwashing. https://t.co/pipdRtAwBA",0
,Breaking Live: दिल्ली में तेज हवा और भारी बारिश के कारण उखड़े पेड़ https://t.co/xhLF7ssW0t,0
Between Two Buns 😏,@DrKanyuira +1. Sijai taka kurudi Msa. Somewhere cold na manicured lawns.,0
,Umabot yung masangsang na alingasaw hanggang Cavite!!! 🤮 https://t.co/Of8yifPPwC,0
"Polangui, albay Philippines","Lagi na lang mainit ulo mo kapag ako kausap mo, kung hindi naman mainit, parang ayaw ako kausap or naboboring ka saken?",0
"sunoo,joshua,dohoon & woonhak",@peachnoooo ang yaman talaga ni madam sunny pakisagot nga tuition ko charez,0
,"RT @krambohol: Sigig uwan, sigi pud tag kautgan ani",1
"Valenzuela City, National Capital Region","Pero syempre ganon talaga, bagong work environment after 11 years kaya malaking adjustment",0
09 | she / her,RT @anythingvernon: scoups burstday stamp rally giveaway!! 🍒 mechanics: - like &amp; rt - drop ur streams (optional but plus points 😆) - will…,0
"Entebbe, Uganda",Kikomando + an ice cold @CocaCola! https://t.co/FiaCp81mX0,0
Canada,"RT @weathernetwork: Typhoon Wutip, the first named storm of the 2025 Pacific season, made landfall in China on Friday, and again on Saturda…",1
,RT @SageGreenCute: Sorry for the flood guys wala lang pahiram muna ah #AnjiSalvacion #JeyDice #TFBBAM #BGYO_Gelo https://t.co/qp6rv5Cs8S,0
,"At 9 CAT GROUP, we’re proud to be part of this movement, driving a blockchain ecosystem. The discussions on DeFi, NFTs, gaming, and regulation have set the stage for even greater advancements ahead. Let’s keep the momentum going. See you again next year, Philippines! 🇵🇭 https://t.co/IoYwxS8ngN",0
happy hippy land,LA is burning. Ukraine is exploding. PH is self-destructing (thanks of Sara). Earth is scorching. My life is crumbling. Perfect June so far.,0
nowhere.,Nature feels &gt;&gt;&gt;&gt;&gt;&gt;,0
,"It's my first time here in Delhi NCR and people are so good n friendly in nature , meet them once and you'll want to meet them again ❤️♥️",0
