user_location,text,category
,"#Philippines #flood #CagayanDeOro #Camaman_an #disaster #climate #destruction #anomaly #climatecrisis #weather #climatechange 🇵🇭 Widespread Flooding in Camaman-an, Cagayan de Oro, Philippines (June 10, 2025) #riyadh #LoveIslandUSA #Vecinos11J #LoveIsland #RIIZE #에이티즈 https://t.co/YbwxOZuqtE","Storms, Typhoons, and Wind Events"
,Earthquake pero nanay ko nag aalmusal pa rin calmly ??,Geological Events
wherever you are,"@WildDawgs420 @BBCNews On June 12, 2025, the UK saw temperatures up to 30°C, notably in eastern England, under a heat-health alert. The Philippines in June typically ranges from 30°C to 33°C with high humidity, making it feel hotter. The UK's heat, while significant locally, is slightly cooler or",Pollution
Philippines,"#WeatherAlert: At least seven provinces are seeing moderate to heavy rain due to the southwest monsoon on Monday, June 9. https://t.co/n1uJbGY46K",Extreme Heat / Heatwaves
,"After akong mamedic habang paakyat sa loob ng Philippine Arena dahil sa sikip ng outfit, humidity, puyat at hilo, namali ako ng flight of stairs paakyat ng UBB so I had to do it all over again. Jusko parang naubos yung oxygen ko sa utak! haha. Need to get in shape na.shet! https://t.co/1pgk33rrOV",Pollution
"Manila, Philippines","RAINFALL ADVISORY: Itinaas sa yellow warning level ng @dost_pagasa ang lalawigan ng Bataan at Zambales dahil sa posibilidad ng pagbaha dulot ng pag-ulan sa mga low-lying areas. Asahan naman ang mahihina hanggang malalakas na pag-ulan sa Metro Manila, Laguna, Rizal, Quezon at https://t.co/FuG9vGLhka",Coastal & Flooding Hazards
,"Praying 🙏 Maganda na weather bukas para maging maayos naman ang event at performance ng SB19, open ground pa naman ang venue. Tapos safe sila makabalik sa Manila for BB PILIPINAS @SB19Official #SB19 #GrupoDuplaInternacionaldoAno #SECAwards https://t.co/cd6ncIKetZ",General Weather
Earth🌍,Kalami lupad nali uwan lang:)),"Storms, Typhoons, and Wind Events"
India,@MimiPal2 Kitna temperature ha waha ? And garmi ha ya humidity,Pollution
P.A.R.,"Weather Forecast for June 10, 2025, Tuesday Posibleng maging bagyo na ang LPA sa West Philippine Sea na patuloy na magpapalakas sa Habagat. Maulan sa Central at Southern Luzon at Panay. ⛈️⛈️⛈️ JABYU☔️ at ingat sa baha at landslides. https://t.co/gqZWlLPjsk",Coastal & Flooding Hazards
,"The Philippines faces alarming climate threats, especially to corn—a key staple crop. Rising heat and erratic rain could slash yields by 35% in the north by 2050. Weak infrastructure and poor preparedness leave the country highly vulnerable.",Extreme Heat / Heatwaves
"Manila, Philippines","𝗦𝗜𝗚𝗡𝗜𝗙𝗜𝗖𝗔𝗡𝗧 𝗥𝗔𝗜𝗡𝗙𝗔𝗟𝗟 𝗧𝗛𝗥𝗘𝗔𝗧 𝗧𝗢𝗗𝗔𝗬⚠️ For 12 June 2025 (Thursday) May banta ng malalakas na pag-ulan sa ilang bahagi ng Luzon dulot ng #habagat ngayong Araw ng #Kalayaan2025, ayon sa pinakahuling abiso ng PAGASA. 🟡 𝗞𝗔𝗧𝗔𝗠𝗧𝗔𝗠𝗔𝗡 https://t.co/D6utnnhZD2",Pollution
"Worldwide, USA, UK","Kalat Earthquake Pakistan - Magnitude 4.4 Earthquake Strikes 41 km ENE of Kalat, Pakistan - June 15, 2025, at 18:29:00 UTC. https://t.co/zbLIgNLFD8",Geological Events
8ini + BP,tyL at sa office ako nag stay kasi putangina apaka init sa pinas 😭,Extreme Heat / Heatwaves
"Manila, Philippines","Bagamat nag-upgrade ang ilang pumping stations sa Metro Manila, nagpaalala si DPWH Secretary Manuel Bonoan na kinakailangan pa rin ang pakikiisa ng publiko upang maiwasan ang pagbaha. BASAHIN: https://t.co/oy7qLE34kA https://t.co/PQeRrUfG8R",Coastal & Flooding Hazards
,Kinahanglan unta og better drainage system diri sa syudad,Coastal & Flooding Hazards
web3,perfect talaga ang tinola pag gloomy weather 😩❤️‍🩹,Pollution
Republic of the Philippines,"The Low Pressure Area (LPA) in the east of Luzon still under the MEDIUM chance to become a tropical depression within the next 24 hours by DOST-PAGASA. For PH setting, the 2025 now ranks at #8 for the latest-forming first named storm since local names began to use in 1963. https://t.co/XY0b9cZYFp","Storms, Typhoons, and Wind Events"
Miyakojima,"6/12 very hot and humid in Miyako Because of Typhoon by the Philippines, it's little windy and there is a high wave warning!! Be careful #miyakojima #okinawa #miyakoisland",Coastal & Flooding Hazards
,"Panahon ng lolo ko, consistent ang seasons. Ngayon? Chaos.",Cold Weather / Temperature Drops
,"As someone from Tacloban, takot parin ako sa storm surge after Yolanda",Coastal & Flooding Hazards
"Quezon City, PHILIPPINES","Thunderstorm Advisory No. 5 #NCR_PRSD Issued at: 8:45 PM, 13 June 2025(Friday) Moderate to heavy rainshowers with lightning and strong winds are expected over Quezon within the next 3 hours. The above conditions are being experienced in Nueva Ecija(General Tinio) and https://t.co/QY4L5zPTLA","Storms, Typhoons, and Wind Events"
,Intense Heatwave Sweeps India; Delhi Records 46.3°C. Hell Is Near Extreme Heatwave: A National Crisis Effect on Delhi And NCR Insufferable Heat: Health Risks: PUBLIC TRANSIT AND INFRASTRUCTURE: Environmental Impact Up Next: More Heatwaves to Come https://t.co/01sTqfPjp3,Extreme Heat / Heatwaves
Nigeria,@AirdropWithMew @Humanityprot Humidity protocol is the alpha 📢 gHuman ✋,Extreme Heat / Heatwaves
"Manila, Philippines","WEATHER ALERT: Naglabas ng rainfall advisory ang @dost_pagasa sa Bulacan, Metro Manila, Nueva Ecija at Quezon. Asahan ang 'light to moderate rains' bunsod ng habagat | DZRH News https://t.co/ZMBZpweklB",Extreme Heat / Heatwaves
Philippines,"Due to habagat, cloudy skies with scattered rains and thunderstorms will prevail in Metro Manila, Bicol Region, and the rest of Visayas, Central Luzon, MIMAROPA, and CALABARZON. (3/4)",Extreme Heat / Heatwaves
,@BoltsTheMech Baha! https://t.co/4NpVY1NeQT,Coastal & Flooding Hazards
India,"More #rain and #thunderstorm activity is expected on Sunday (June 15), with the possibility of #hailstorms in isolated areas: #IMD Read: https://t.co/7HbY7fg3aO","Storms, Typhoons, and Wind Events"
Philippines,"The Southwest Monsoon (Habagat) will affect Central and Southern Luzon, Visayas, and Mindanao, PAGASA said in its Tuesday afternoon forecast. It is expected to cause occasional rains over Cavite, Batangas, Zambales, Bataan, Occidental Mindoro, and Palawan, and cloudy skies with https://t.co/T2sRiz7ZRU","Storms, Typhoons, and Wind Events"
,gloomy weather gives me comfort 😌 kaya parang gusto kong mag-baguio ngayon 🫣,Extreme Heat / Heatwaves
Sendai/Bonn/Brisbane/Tokyo,RT @hgpi_2004: [Policy Recommendation] Preparing for “Disaster-Level Heat” in the 2025 Basic Policy on Economic and Fiscal Management and R…,Pollution
,RT @ABSCBNNews: Expect moderate to heavy rainshowers with lightning and strong winds in the following areas within the next two hours: Nu…,"Storms, Typhoons, and Wind Events"
London,"RT @sustainme_in: Philippines 🇵🇭 Severe flooding hit the Camaman-an area of ​​Cagayan de Oro City, Philippines, on June 10, 2025. Heavy rai…",Pollution
,@Crompton_India In NCR@45 degree temperature after two days the service centre told to get it replaced from whom you bought. Should I again go to Bhagirath Place Delhi to get it replaced. Is it not a cruel joke in the scorching heat that too on Sunday when market is closed.,Extreme Heat / Heatwaves
,The air feels nice and cool this afternoon.,General Weather
,RT @dm_jaccck: bugnaw pre https://t.co/CypOOpY5Kq,Cold Weather / Temperature Drops
,Mood ko dependent na sa panahon. Di healthy to,General Weather
Singapore,"@BS2KZ Yes, you're right! Last year, it was a very short monsoon visit to the PH, but I ended up in Cambodia for the rest of the monsoon, as you may remember from all those temple visits in the rain! The year before was at the tail end of the monsoon and even during a typhoon!","Storms, Typhoons, and Wind Events"
,RT @TVPatrol: Magiging mainit at maaraw sa maraming bahagi ng Pilipinas sa weekend (June 14-15). Papasok ang bansa sa monsoon break kung k…,"Storms, Typhoons, and Wind Events"
,"Ang lakas ng hangin ngayon, parang may parating na bagyo.",General Weather
"Manila, Philippines","𝗔𝗙𝗧𝗘𝗥𝗡𝗢𝗢𝗡 𝗧𝗛𝗨𝗡𝗗𝗘𝗥𝗦𝗧𝗢𝗥𝗠 ⛈️ Hanggang sa malalakas na pag-ulan na may kasamang mga kidlat at malakas na hangin ang inaasahan o kasalukuyang nararanasan sa iba't ibang lugar sa Metro Manila, Zambales, Tarlac, Pampanga, Bataan, Cavite, Bulacan, Rizal, Quezon, https://t.co/HpJCorowul",Extreme Heat / Heatwaves
"India, Delhi/Haryana/UP/Mumbai",Live feels like index (Heat stress) temp across NCR at 4:30 PM •Mansarovar Gardens: 56°C (41.8°C/43.7%) •Anand Vihar-GZB Brd: 55°C (38.7°C/54.5%) •Greater Kailash: 53°C (40.1°C/47.4%) •Faridabad 52°C (40.2°C/45.6%) High heat and feels like index will continue to remain https://t.co/vk4QwOtrau,Pollution
Mars,"RT @pkusrain: Rainfall forecast for today. Significant thunderstorms expected over Gujarat, Rajasthan, haryana, west UP, Punjab, Delhi NCR…",Pollution
P.A.R.,"Weather Forecast for June 13, 2025, Friday Posibleng makalabas na ng PAR ang LPA ngayong gabi. Magiging maaraw at mainit na sa malaking bahagi ng bansa pero maulan sa hapon at gabi sa Mindanao. JABYU☔️ https://t.co/EUAhvSws3R","Storms, Typhoons, and Wind Events"
Across Basins,"RT @PAGASAFFWS: General Flood Advisories Issued @6PM, 09 June 2025 Region 8 (Eastern Visayas) GFA#8 Region 9 (Zamboanga Peninsula) GFA#13…",Extreme Heat / Heatwaves
"Nouméa, New Caledonia","ird2025lnvsqj Mindanao, Philippines mb 5.0 2025/06/13 08:13:24 - For updates, please see https://t.co/PXHJNKbjAg @EarthquakesGA @GeoscienceAus #earthquake #seisme #sismo https://t.co/ZD25FK4pv3",Geological Events
Republic of the Philippines,"RT @TVPatrol: Binaha ang ilang lugar sa Pilipinas dahil sa pagbuhos ng malakas na ulang dulot ng habagat at low pressure area. Samantala,…","Storms, Typhoons, and Wind Events"
,"【m3.2】MINDANAO, PHILIPPINES 6km Jun 15, 2025 14:53:38 UTC (G)https://t.co/RkpQLFt1nQ (EMSC)https://t.co/UTMjkpQ6oQ",Geological Events
Philippines,"#WeatherAlert: Zambales, Bataan, and Occidental Mindoro are expected to have heavy to intense rain from the southwest monsoon on Wednesday, June 11. https://t.co/ESd3ZmKMif",Pollution
,Lamig supremacy!!! Sana lagi nalang ganito ??,Cold Weather / Temperature Drops
"Puerto Princesa City, Palawan","A tropical depression outside PAR and the southwest monsoon are bringing rains to parts of Luzon, Visayas, and Palawan today. #WeatherUpdate #MonsoonRains #PalawanNews https://t.co/scE8zDHKml","Storms, Typhoons, and Wind Events"
,"@_vnjs_ @nangnongs_ofc abot din samin yung usok eh. Mahirap din talaga pag summer, mauuso yung ganyan haayy",Pollution
,"Ang weird ng panahon, biglang nag-init tapos lumamig.",General Weather
,Weather changes = climate change. Connect the dots people,General Weather
#ERROR!,It's so cold and I suddenly remembered I won't be seeing yoursky fam fm in manila on july https://t.co/UKergBwedC,Cold Weather / Temperature Drops
,"Hope it doesn�t rain later, may lakad pa naman.",General Weather
Delhi-NCR,"Delhi Weather Forecast: दिल्ली में लगातार 5 दिनों तक होगी बारिश, 8 डिग्री तक कम होगा तापमान; जानें कब से मिलेगी गर्मी से राहत... पूरी खबर पढ़ें: https://t.co/YwfYBQI1jx #waetherforecast #heatwaves #delhincr #delhirain #delhinews",Extreme Heat / Heatwaves
,Melting ice caps affecting crustal pressure daw. Related ba?,Geological Events
P.A.R.,"Weather Forecast for June 13, 2025, Friday Posibleng makalabas na ng PAR ang LPA ngayong gabi. Magiging maaraw at mainit na sa malaking bahagi ng bansa pero maulan sa hapon at gabi sa Mindanao. JABYU☔️ https://t.co/EUAhvSws3R",Extreme Heat / Heatwaves
,Me checking weather forecast: So we doing winter now?,Cold Weather / Temperature Drops
,Panahon = manifestation ng collective anxiety natin,General Weather
Philippines,@MariaAngela1434 Hahaha mhie why naman idedelete. Dito sa X nag-uumpisa makakuha ng ayuda hahahahaha konting tiis na lang mhie. Matatapos din ang tagtuyot at taggutom 😅😅😅,Extreme Heat / Heatwaves
"Zero Mile, India",@The_Welkin Garam chalta... Humid nhi,Pollution
Philippines,A Facebook page is spreading a fake post claiming an eruption and tsunami occurred at Taal Volcano. This is fake. https://t.co/MrVxMynLYh,Geological Events
,Pa massage namo. tugnaw.,Cold Weather / Temperature Drops
White House in my Village,"@IndianTechGuide Relocate manufacturing industries from NCR region to eastern UP and Bihar. The worst capital city in the world. People are dying of flood, pollution, heat wave, cold",General Weather
,Even PAGASA surprised sa weather trends lately,General Weather
"Zero Mile, India",@The_Welkin Garam chalta... Humid nhi,Extreme Heat / Heatwaves
Makati City,"WEATHER UPDATE: Moderate to heavy rainshowers with lightning and strong winds are expected over Nueva Ecija, Laguna, Rizal, Bulacan, Metro Manila, Pampanga, Tarlac and Zambales within the next 2 hours according to PAGASA. The above conditions are being experienced in Batangas https://t.co/SbC6T5kZOG","Storms, Typhoons, and Wind Events"
"Pacific North West, BC","RT @rpallanuk: Global #climate hazards @UKHSA: 🌀storm WUTIP Cambodia, China, Laos, Philippines, Thailand, Vietnam 🌧️floods over Afghanistan…","Storms, Typhoons, and Wind Events"
Philippines,"#WeatherAlert: The trough or extension of the low pressure area that used to be Tropical Depression Auring may still cause scattered rain and thunderstorms in Batanes on Friday, June 13. #AuringPH https://t.co/4arFJ8t5xI",Extreme Heat / Heatwaves
,"Mom: ""malamig ngayon a"" Me: wearing 3 layers ""REALLY????""",Cold Weather / Temperature Drops
,Nakaka demotivate yung weather para gumising,General Weather
,"@bakerhaotyunz so that was like 25k for just a one way flight to mnl. during the day of the con, i was still in cebu and the weather was kind of bad. but thank god there were no delays and i arrived in mnl on time. it was rlly a memorable and a rollercoaster experience for me","Storms, Typhoons, and Wind Events"
🇵🇭 Ubec,ANG LAKAS DIN NG KULOG AT KIDLAT,"Storms, Typhoons, and Wind Events"
,Manila Bulletin LPA 离开 PAR，现已成为热带低气压；“habagat”将带来更多降雨 菲律宾大气、地球物理与天文服务管理局 (PAGASA) 表示，离开菲律宾责任区 (PAR) 的低压区 (LPA) 已增强为热带低气压，但预计不会再直接影响该国任何地区...,Extreme Heat / Heatwaves
,"@UPPCLLKO @PuVVNLHQ Your power problem in koshambhi residential area will ever erase? A small rain and powercut little heat power cut. Forget about huge rain. Why you have such fragile distribution network especially in area where payments are done in time, is this the way a NCR infra behaves","Storms, Typhoons, and Wind Events"
"Quezon City, PHILIPPINES","Rainfall Advisory No. 9 #NCR_PRSD Weather System: Southwest Monsoon (Habagat) Issued at: 2:00 PM, 11 June 2025(Wednesday) Light to moderate with occasional heavy rains are expected over Nueva Ecija, Rizal, Quezon and Laguna. Light to moderate with occasional heavy rains https://t.co/bJDsf7gzzL","Storms, Typhoons, and Wind Events"
Laguna,@rietaalexander3 @EatBulaga Thank you mhie. Wala na ang bagyo pero malakas ang hangin,"Storms, Typhoons, and Wind Events"
Republic of the Philippines,"Villamil: Dito sa Metro Manila at nalalabing bahagi ng bansa, ang easterlies ang weather system na iiral kaya asahan ang mainit at maalinsangang panahon. Sasamahan lamang 'yan ng mga biglaan at panandaliang pag-ulan na dulot ng thunderstorms.",Extreme Heat / Heatwaves
,Just observing how unpredictable weather has become,General Weather
,Please be safe everyone. Lalo na yung malapit sa epicenter,Geological Events
"Manila, Philippines","6:25pm: sunset sunrise will be at 5:26am tomorrow's forecast for Manila: thunderstorm with light hail, 30/28°C","Storms, Typhoons, and Wind Events"
"Bruyères-Le-Chatel, France",🔔#Earthquake (#lindol) M3.1 strikes 168 km SE of #Mati (#Philippines) 12 min ago. More info: https://t.co/sLZs3WX7mM,Geological Events
,"RT @TataLive_Legal: Due to the combined influence of Cyclone Habagat and LPA trough, high probability of rainfall is expected over in Luzon…",Pollution
Metro Manila,"Hindi seasonal kundi all-year round ang declogging operations ng MMDA sa mga drainage ng mga pangunahing lansangan sa Metro Manila. Sa panahon ng malakas na pag-ulan, ang mga baradong drainage ay nagiging sanhi ng pagbaha dahil hindi makadaloy nang maayos ang tubig kaya kahit https://t.co/0d1Nii98Zf",Pollution
"Santa Cruz, Davao Region",gloomy nga adlaw https://t.co/dZasHZ3Igb,Pollution
,That moment when you're not sure if earthquake or may truck,Geological Events
India,"FLOOD ALERT! ⛈️ Heavy rainfall causes massive flooding in Camaman-an, Cagayan de Oro, Philippines! 🇵🇭 🌟 #PhilippinesFlood #CagayanDeOro #FloodAlert https://t.co/AzkicQwlIG",Pollution
Baguio/LT,"Ito ang fog kanina sa Irisan. Feeling ko kanina, ang daling magtago dito. Layo ka lang ng konti, di ka na makita https://t.co/HiGxHm8WNa",Pollution
"Patriot House, ITO, Delhi-2","Delhi Weather: Amid the scorching heat in Delhi after days of red alert, the India Meteorological Department (IMD) has forecast thunderstorm and rain #DelhiWeather #DelhiRain #DelhiNews https://t.co/t9yv3NosnW",Extreme Heat / Heatwaves
,Bad situation but neighbors helping neighbors. Ganda ng Pinoy spirit,Coastal & Flooding Hazards
Philippines,"The Low Pressure Area (LPA) will bring scattered rains over Batanes and Cagayan while the rest of Luzon, Visayas, and western Mindanao will have scattered rains due to the southwest monsoon or habagat, PAGASA reported. As of 3 a.m., the LPA was estimated at 235 kilometers east https://t.co/ZsooSNFyWv",Pollution
Pilipinas,maginaw sa ofc 🥶,Pollution
"Manila, Philippines","Expect moderate to heavy rainshowers with lightning and strong winds in the following areas within the next three hours: Tarlac Nueva Ecija Pampanga Zambales Quezon This is based on the thunderstorm advisory released by @dost_pagasa at 10:00 PM, Saturday, June 14. https://t.co/8nUQqaVMNl","Storms, Typhoons, and Wind Events"
,"Super breezy this afternoon, good day for walking.",General Weather
,Climate change is not a joke pero yung response ng govt parang joke,Coastal & Flooding Hazards
The Eye,"Here are the impact statistics from Typhoon Wutip, the first storm of the 2025 Pacific Typhoon Season: - As a precursor system, she caused flooding and a pyroclastic debris flow near the Mt. Kanlaon volcano in the Philippines, claiming 3 lives. - Once becoming a named Tropical https://t.co/jj1sbPIIfp","Storms, Typhoons, and Wind Events"
"Cebu City, Central Visayas","Officials blame Cebu’s persistent flooding on the community’s lack of discipline, which they say weakens flood control efforts amid heavy rains from the southwest monsoon and a low-pressure area affecting the province from June 6 to 11. #CDNDigital READ STORY HERE: https://t.co/g6Ih5bmZsA",Extreme Heat / Heatwaves
"Sri Ganganagar, RJ","As a person from NCR, India, can’t relate. Summer - Temp reaching 50 degrees Monsoon - Water Clogging everywhere and diseases. Winter - Air Pollution so can’t breathe. There are just 15-20 days between these seasons that we can enjoy. Truly, we live in a $heetH0le. https://t.co/JYDusS7pNG","Storms, Typhoons, and Wind Events"
,Pagod na ko sa paulit ulit na baha jusq ??,Coastal & Flooding Hazards
"Vancouver, British Columbia",@News5PH Argentina? Chile? Somewhere in Latim America? Mild temperature and similar culture as Philippines.. Just guessing..,General Weather
,Scientists say magma movement detected. Ano meaning nun? ??,Geological Events
7teen s/her 63+,"teka di pako tapos, to be continued muna at ako’y mamamatay sa ginaw at naghahanap ako ng screenshots",Pollution
"Cebu City, Philippines",Thunder and lightning here in cebu city! I think it’s going to rain!,"Storms, Typhoons, and Wind Events"
,Kalit lang nagdag-um ang langit.,General Weather
Quezon City,"General Flood Advisories Issued @6AM, 16 June 2025 Region 10 (Northern Mindanao) GFA#6 Region 11 (Davao Region) GFA#6 Region 13 (CARAGA) GFA#3 BARMM GFA#6 https://t.co/qeYmOawfsR","Storms, Typhoons, and Wind Events"
,That friend na chill lang during earthquake. Sana all,Geological Events
,RT @theburnercorner: Hello Pelepens! Handa nakong pasampal ng humidity sa labas 🥴 Success sa 18hrs na byahe ☠️ https://t.co/UUUO1tubkZ,Pollution
🇵🇭,RT @sciencekonek: 𝗦𝗜𝗚𝗡𝗜𝗙𝗜𝗖𝗔𝗡𝗧 𝗥𝗔𝗜𝗡𝗙𝗔𝗟𝗟 𝗧𝗛𝗥𝗘𝗔𝗧 𝗧𝗢𝗗𝗔𝗬⚠️ For 12 June 2025 (Thursday) May banta ng malalakas na pag-ulan sa ilang bahagi ng L…,Pollution
"Manila, Philippines","6:26pm: sunset sunrise will be at 5:27am tomorrow's forecast for Manila: thunderstorms, 30/28°C",Pollution
Bangalore India,"Delhi-NCR Weather: Yellow alert for Delhi as IMD predicts rain, thunderstorms for next..., check 7-day forecast here https://t.co/E2yFfhdA7h",Pollution
,RT @ItsMeNotaEater: Lalong uminit ang panahon 🥵 https://t.co/2ZeRzRtKib,Extreme Heat / Heatwaves
,Natatakot ako isipin yung worst case scenario ng flooding sa NCR,Coastal & Flooding Hazards
🎀🩷🌸,sobrang kulimlim kanina pero hindi naman umulan,"Storms, Typhoons, and Wind Events"
,"Delhi-NCR was rocked by fierce pre-dawn storms: winds hit 104 km/hr, temps plunged 8°C in 2 hrs, and hail lashed parts of the city. IMD warns of more rain, storms, and possible hail till noon. Red alert in place. 🌩️🌧️ https://t.co/xfJ5up7raq","Storms, Typhoons, and Wind Events"
"Quezon City, Philippines","Umapela sa publiko ang Metropolitan Manila Development Authority (MMDA) na huwag tambakan ng basura ang mga creek o daluyan ng tubig lalo’t nagsisimula na ang tag-ulan, upang makaiwas sa matinding pagbaha. Ginawa ng MMDA ang panawagan kasunod ng isinagawa nitong clean up drive https://t.co/5D3y5cpQN6","Storms, Typhoons, and Wind Events"
,Maulang panahon mula kaninang madaling araw ingat po #Habagat #LowPressureArea,Extreme Heat / Heatwaves
,Grabe lakas ng ulan. Hirap mag travel kasi zero visibility sa daan.,"Storms, Typhoons, and Wind Events"
,Weather doing the most as usual,General Weather
"Manila, Philippines","WEATHER ALERT: Naglabas ng rainfall advisory ang @dost_pagasa sa Bulacan, Metro Manila, Nueva Ecija at Quezon. Asahan ang 'light to moderate rains' bunsod ng habagat | DZRH News https://t.co/ZMBZpweklB",Pollution
,Grew up sa coastal area. Ang laki ng difference ng shoreline noon vs now,Coastal & Flooding Hazards
,To everyone affected by floods: You are not alone. We got this! ??,Coastal & Flooding Hazards
,"Me during earthquake: Googles ""is this the big one""",Geological Events
,Planned my day tapos iba nangyari sa weather. Hay.,General Weather
,Lakas kulog kidlat,"Storms, Typhoons, and Wind Events"
Republic of the Philippines,Tapos nung sumigaw ako ulit nilapitan ako ni Kuya Yani para kunware kurutin sa bewang kasi naaasar na hahahaha tas one time ginaw na ginaw ako niyakap nya ko. Kaso nagising ako kasi literal giniginaw pala ko sa aircon 😆,Extreme Heat / Heatwaves
,Me: wears jacket once Climate change solved! Charot,Cold Weather / Temperature Drops
she/her | 20 | future archi!,PAKSHET NAULANAN AKO NAPASUGOD SA BAHA PAG AKO NAPASOK NG LEPTOSPIROSIS SA UTAK,Coastal & Flooding Hazards
Philippines,"TROPICAL CYCLONE OUTSIDE PAR AS OF 3:00 AM TODAY TROPICAL STORM WUTIP (2501) LOCATION: 1,025 KM WEST OF NORTHERN LUZON (16.4°N, 110.8°E) MAXIMUM SUSTAINED WINDS: 65 KM/H NEAR THE CENTER GUSTINESS: UP TO 80 KM/H MOVEMENT: NORTHWESTWARD AT 10 KM/H","Storms, Typhoons, and Wind Events"
,My province is within the danger zone. Nag prepare na kami,Geological Events
,Bugnaw na just,Cold Weather / Temperature Drops
,Sunny morning turning into dark skies by noon�classic bipolar weather.,General Weather
,"LINOG ALERT! Earthquake Information No.1 Date and Time : 09 Jun 2025 - 06:21:20 PM Magnitude : Ms 3.2 Depth : 124 km Location : 04.61°N, 125.90°E - 104 km S 31° E of Balut Island (Municipality Of Sarangani) (Davao Occidental) Early Warning, Early Action! https://t.co/VzyvBJrnWi",Geological Events
,"Presko ang hangin, limpyo kaayo ang langit.",General Weather
,@PhilNews24 Delubyo kapag ang ulan ay napalakas sa buong Metro Manila nakakatakot sipmleng ulan.,"Storms, Typhoons, and Wind Events"
,Weather roulette everyday. Surprise! ??,General Weather
follow niyo bf ko sa spotify!,sana po hindi maulan sa manila 🙏🏻,"Storms, Typhoons, and Wind Events"
,"@volcaholic1 the Philippines. Event: An undersea volcanic eruption or seismic crack occurs. The sea is depicted as “boiling south of Japan”, indicating violent upheaval. It triggers a mega-tsunami, reportedly up to three times larger than the 2011 Tōhoku tsunami. This wave is predicted to",Coastal & Flooding Hazards
"Imus, Calabarzon","RT @gmanews: TINGNAN: Ilang mga sasakyan sa Barangay Camaman-an, Cagayan de Oro City ang nalubog sa baha matapos ang flash flood na dulot…",Coastal & Flooding Hazards
Secret Garden In My Mind,Ang ginaw sa ER.,Extreme Heat / Heatwaves
,yung lindol kahapon wala manlang mga nag react mga sanay na eh hahahahahahahaha,Geological Events
,"Although the absence of weather phenomena El Niño and La Niña has made conditions ideal for rice farming in Western Visayas this wet cropping season, the Department of Agriculture (DA) warns that farmers are still at risk of bacterial diseases... https://t.co/chm7ZppzZc",General Weather
,May aftershock pa ba to??? Takot na takot ako,Geological Events
,Kabugnaw uy! Palit nag jacket pero mahal kaayo,Cold Weather / Temperature Drops
tndg,"Idc, basta uwan di ako mo laag","Storms, Typhoons, and Wind Events"
"Quezon City, PHILIPPINES","Rainfall Advisory No. 3 #NCR_PRSD Weather System: Southwest Monsoon (Habagat) Issued at: 2:00 AM, 10 June 2025(Tuesday) Light to moderate rains are expected over Quezon, Batangas, Cavite, Bataan, Tarlac and Metro Manila. Light to moderate with occasional heavy rains affecting https://t.co/OoCVugnErn","Storms, Typhoons, and Wind Events"
