user_location,text,category
,@DreamscapePH Huhuhu tapos na ang tagtuyot! 😭🤣,Extreme Heat / Heatwaves
,Weather making history lately. Di maganda yung history,General Weather
,Ang positive ko nalang: at least nalilinis yung kalsada pag binabaha ??,Coastal & Flooding Hazards
Republic of the Philippines,"Villamil: Dito sa Metro Manila at nalalabing bahagi ng bansa, ang easterlies ang weather system na iiral kaya asahan ang mainit at maalinsangang panahon. Sasamahan lamang 'yan ng mga biglaan at panandaliang pag-ulan na dulot ng thunderstorms.","Storms, Typhoons, and Wind Events"
Western Canada,@_we_love_food when I visited the Philippines April 2025 there were makeshift food stands did I eat at any of them No because they likely had no refrigeration that and the heat of the day .,Pollution
,"A new impact-based flood forecast has just been uploaded on June 15, 2025 01:42 PM. To find out the details, please check the Exposure Assessment tab of https://t.co/WdyUGzI3AM https://t.co/DXnIaLJETm",Pollution
,Yung mga teachers parang mas excited pa sa lamig kaysa sa students,Cold Weather / Temperature Drops
,I love the smell of rain on the pavement.,General Weather
,@dominos_india Hey Dominos it is scorching heat in Delhi NCR no need to keep the 30 mins deadline during daytime. Let the Delivery person rest in between deliveries. Ensure they are hydrated. Pizza tastes better if it is delivered with happiness 😊,Extreme Heat / Heatwaves
,Using my old hoodie from college. Buti di ko pa tinatapon,Cold Weather / Temperature Drops
,Worried about our crops. Hindi na alam ng plants kelan season nila,Cold Weather / Temperature Drops
,@Widino Bahaya flash-flood,Coastal & Flooding Hazards
"New Delhi, India",RT @indiametsky: Live feels like index (Heat stress) temp across NCR at 4:30 PM •Mansarovar Gardens: 56°C (41.8°C/43.7%) •Anand Vihar-GZB…,Pollution
,"Ganda ng weather today, hindi masyadong mainit.",General Weather
,"𝗪𝗲𝗮𝘁𝗵𝗲𝗿 𝗔𝗱𝘃𝗶𝘀𝗼𝗿𝘆 𝗮𝘀 𝗼𝗳 𝗝𝘂𝗻𝗲 𝟭𝟮, 𝟮𝟬𝟮𝟱 Walang epekto sa ating lalawigan ang LPA ngunit ang Hanging Habagat ang magdadala ng maulap na kalangitan at pabugso bugsong katamtaman hanggang sa malakas na pag-ulan. Maraming salamat at mag-iingat po lagi! https://t.co/eJDYpTFMap",Pollution
"Quezon City, Philippines","RAINFALL ADVISORY | As of 5:00 AM, 12 June 2025(Thursday) Southwest Monsoon (Habagat) YELLOW WARNING LEVEL: Zambales at Bataan. ASSOCIATED HAZARD: FLOODING sa mga flood-prone areas. Samantala, mahina hanggang katamtaman na may paminsan-minsang malakas na pag-ulan na https://t.co/LZhsqFLObv",Pollution
Philippines,"An Intertropical Convergence Zone (ITCZ) will bring scattered rains over Mindanao and Eastern Visayas on Sunday, while the easterlies will affect the rest of the country, PAGASA said in its forecast. Read more: https://t.co/lrINW7nePx https://t.co/XTmsRnpaoC",Pollution
India,"RT @pkusrain: Thunderstorm development observed over few places of Haryana, West UP very close to Delhi NCR. Monsoon rain just few days awa…","Storms, Typhoons, and Wind Events"
"Quezon City, Philippines","Weather Advisory No. 17 For: Southwest Monsoon Issued at: June 10, 2025, 5 AM Heavy rainfall outlook due to Southwest Monsoon Today (50-100 mm): Zambales, Bataan, Occidental Mindoro, and Palawan Tomorrow (100-200 mm): Occidental Mindoro and Zambales (50-100 mm): Metro Manila, https://t.co/Nd4iPRbzOn","Storms, Typhoons, and Wind Events"
Philippines,"Batanes will have cloudy skies with scattered rains due to the trough of the Low Pressure Area (LPA) as the southwest monsoon or Habagat and easterlies bring scattered rains over the western section of Northern Luzon and the rest of the country on Friday, PAGASA reported. Read","Storms, Typhoons, and Wind Events"
Philippines,"The Benham Bank is home to a thriving ecosystem full of unique and untouched biodiversity. It is considered one of the Philippines’ richest deep coral ecosystems, according to a study made by the UP Marine Science Institute. Researchers from UP MSI observed marine life 60-70 https://t.co/H8WZ1H9CEN",Pollution
,That was scary af. Parang ang tagal nung pag yanig ??,Geological Events
"Naga City, Philippines","Hunyo 11-13, 2025 Update: Bagyong “Wutip” Namuo Sa Labas Ng PAR…Habagat... https://t.co/JIjiTLuaZJ via @YouTube #WeatherTV #WeatherAlert #StormAlert #Wutip",Pollution
라키’s dimple,sobrang init kanina tapos biglang lakas ng ulan huwaw sakit tuloy ng ulo ko 😭,"Storms, Typhoons, and Wind Events"
,"Weather is so unpredictable�sunny earlier, raining hard now.",General Weather
cfa in the making,please please one day lang po hinihingi ko na walang rain pls 😔,"Storms, Typhoons, and Wind Events"
Republic of the Philippines,The rainy season is here! Enjoying the fog and cold weather! #philippines #TravelBigChallenge #rainyday #fog #itsmorefuninthephilippines #pilipinas #wowphilippines #choosephilippines #natgeotravel #natgeotravelpic #exploreph #travelph #wheninmanila #GoPh https://t.co/65n0lpCJLk,"Storms, Typhoons, and Wind Events"
,The sky looks clear today � finally no rain.,General Weather
"Cebu City, Philippines","Kanang set up na imong strava, nya start nakag dagan nya ni kalit rag bundak ang uwan. https://t.co/5lpVTJfWXO","Storms, Typhoons, and Wind Events"
🎶 | welcome to,"konting puyat nalang, suspended na😊 dba deped baka naman.... 🥺ulan ng ulan","Storms, Typhoons, and Wind Events"
Cabuyao. Laguna,"Eto ung season sa Seoul na akala mo namaligno. Umalis ako this morning na Naka jacket kasi, ang lamig tapus nung tanghali akala mo nasa Pinas na ako sa init tapus parang uulan naman now 😩",Cold Weather / Temperature Drops
"lily, wisteria",@choccymilk_star Philippines 😔 SEA heat is not for beginners 😭,Pollution
,PHIVOLCS reported magnitude 5.8 earthquake. Stay alert!,Geological Events
,"ay bat nagagalet ang ulap na yan ? makulimlim ka na lang dyan, beh 😤","Storms, Typhoons, and Wind Events"
"Quezon City, PHILIPPINES","Thunderstorm Advisory No. 3 #NCR_PRSD Issued at: 2:51 PM, 14 June 2025(Saturday) Moderate to heavy rainshowers with lightning and strong winds are expected over Quezon and Cavite within the next 2 hours. The above conditions are being experienced in Batangas(Tanauan, Santo https://t.co/UZ19c2yKe1","Storms, Typhoons, and Wind Events"
"Manila, Philippines","WEATHER ALERT: Posibleng makaranas ng 'moderate to heavy rainshowers' na may pagkidlat at malalakas na hangin ang mga sumusunod na lugar sa susunod na dalawang oras, ayon sa @dost_pagasa: Laguna Rizal Metro Manila Cavite Batangas Bulacan Zambales | DZRH News https://t.co/Tg9GkdcFt4","Storms, Typhoons, and Wind Events"
Delhi,"While efforts to curb Diwali fireworks are in place, they still contribute to short-term spikes in air pollution levels in Delhi NCR. #NoHalfMeasures",Pollution
"Makati, PH ","Tatlo, nasawi matapos malunod dahil sa epekto ng LPA at habagat ayon sa NDRRMC | via @BNFMCathAustria https://t.co/BaylEOaMzX",Extreme Heat / Heatwaves
multi.,tapos sh*t sobrang init https://t.co/WY25t67yNm,Pollution
wherever you are,"@BIGSAM_023 @PH_Socials @PH_Socials The seaports in Rivers State, including Rivers Port (Port Harcourt) and Onne Port, are functional. Rivers Port handles various cargo but faces issues like collapsed berths and pollution. Onne Port, a major oil and gas hub, deals with poor road access and security",Pollution
"Quezon City, PHILIPPINES","Thunderstorm Advisory No. 4 #NCR_PRSD Issued at: 3:57 PM, 14 June 2025(Saturday) Moderate to heavy rainshowers with lightning and strong winds are expected over Nueva Ecija, Laguna, Rizal, Bulacan, Metro Manila, Pampanga, Tarlac and Zambales within the next 2 hours. The above https://t.co/RXtnkLigA8","Storms, Typhoons, and Wind Events"
,"Niyanig ng magnitude 5.1 na lindol nitong Martes ng madaling araw ang bayan ng Calatagan sa Batangas, ayon sa Philippine Institute of Volcanology and Seismology o Phivolcs. https://t.co/fjfd2cPYAf",Geological Events
"Taipei City, Taiwan",- MAINIT. parang pinas lang rin pag summer sa time na to + minsan umuulan.. sobrang humid so pack light clothes and comfy shoes since lakad pro max din ang galawan dito 😆 - mini fan is da key for freshness 🤣 - most museums are closed on mondays! adjust your itinerary if ever,Extreme Heat / Heatwaves
Regional Met Centre New Delhi,"In continuation with previous weather 15/06/2025: 13:10 IST; Hail storm/Thunderstorm with moderate to heavy rainfall and lightning is very likely to occur at NCR( Greater Noida), Viratnagar (Rajasthan) during next 2 hours. https://t.co/8ciKtFiABZ","Storms, Typhoons, and Wind Events"
exes are exes for reasons,konting ulan and wala ng Internet connection Welcome to the Philippines!,"Storms, Typhoons, and Wind Events"
Asia Pacific,"In Parallel Session 2 in today's ExBu, Dr. Merlina G. Panganiban, City Urban Development Officer, Makati talked about tackling land-based pollution &amp; rehabilitates waterways, safeguarding Manila Bay's marine ecosystems and boosting sustainable tourism. #4BetterLocal",Pollution
,Weather. Enough said.,General Weather
Philippines,#VERAFilesFactCheck: A Facebook page is circulating an alarmist post claiming that Taal Volcano recently erupted and caused a massive tsunami. This is fake. Read more: https://t.co/MrVxMynLYh https://t.co/xyyUNppyDm,Geological Events
"New Delhi, India",दिल्ली-एनसीआर में बारिश ने दी गर्मी से राहत #Weather #newdelhi #monsoon https://t.co/Jl2rrQ3ml2,Extreme Heat / Heatwaves
stamaria or meycauayan Bulacan,Pinunto ng senadora bahagi ng ating laban para sa kalayaan ang pangangalaga sa kalikasan lalo’t laging dinadaanan ng mga bagyo at nakakaranas ng pagbaha ang ating bansa. | ulat ni Nimfa Asuncion BASAHIN | https://t.co/RU16bEizgY #RP1News #RadyoPilipinas #RadyoPubliko https://t.co/wYuKkYGxfa,"Storms, Typhoons, and Wind Events"
"General Trias, Cavite","Ano na ginaw na ginaw nako dito oh, baka naman, HUEEEY ANONG BAKA NAMAN tama na nga🤭 sige na kanina pako dito oh",Pollution
Republic of the Philippines,valid reason ba na kaya hindi ako makagawa ng papers today kasi sobrang humid ng paligid?,Pollution
,Earthquakes + volcanic activity = not a good combination,Geological Events
Quezon City,"General Flood Advisories Issued @6PM, 12 June 2025 Region 8 (Eastern Visayas) GFA#14 Final Region 9 (Zamboanga Peninsula) GFA#3 Final Region 10 (Northern Mindanao) GFA#3 Final Region 13 (CARAGA) GFA#3 Final https://t.co/hlXpdNGNlb","Storms, Typhoons, and Wind Events"
Taguig City,June 12 nga pala nagstart eruption ni Pinatubo 🥲,Geological Events
Republic of the Philippines,Uwan nasad... 😁 Lami itulog Kay bugnaw. Maka tapol. Cuddle nalang kuwang ani #AlterCebu #alterphilippines,"Storms, Typhoons, and Wind Events"
,"Super humid today, sweating nonstop.",General Weather
Republic of the Philippines,"RT @TVPatrol: Binaha ang ilang lugar sa Pilipinas dahil sa pagbuhos ng malakas na ulang dulot ng habagat at low pressure area. Samantala,…","Storms, Typhoons, and Wind Events"
,RT @batangpromdi: Nakakatamad ang weather. Pati sa work tinatamad https://t.co/PFTe0Me1Ai,General Weather
,@Boss__Natasha Boss ka? Weather in the philippines so hot na! Wearing jacket would kill you! Hahaha,Extreme Heat / Heatwaves
,Immune system ko surrendered na dahil sa weather changes,General Weather
Makati City,"THUNDERSTORM ADVISORY: Moderate to heavy rainshowers with lightning and strong winds are expected over Metro Manila, Nueva Ecija, Zambales, Tarlac and Pampanga within the next 2 hours according to PAGASA. Intense to torrential rainshowers with lightning and strong winds are https://t.co/jqQHzyELJ2","Storms, Typhoons, and Wind Events"
USA,"1991 The eruption of Mount Pinatubo in the Philippines deposited large amounts of particulate matter into the atmosphere, enough to lower global temperatures by about 0.5 °C (0.9 °F). Discuss ⬇️ https://t.co/UT3J3v3sbL https://t.co/Eic5ms6GGC",Geological Events
Republic of the Philippines,The rainy season is here! Enjoying the fog and cold weather! #philippines #TravelBigChallenge #rainyday #fog #itsmorefuninthephilippines #pilipinas #wowphilippines #choosephilippines #natgeotravel #natgeotravelpic #exploreph #travelph #wheninmanila #GoPh https://t.co/65n0lpCJLk,"Storms, Typhoons, and Wind Events"
,"GOOD NEWS(June 12,Thurs.5:23PM):Bukas (Friday) possible ang generally improved weather sa Metro Manila at ilang parte ng West Sections ng Luzon, possible mas magpakita na ang araw dahil sa possibleng pag hina ng #Habagat .Sa parts ng extereme northern luzon possible maulan. https://t.co/oQBsKLS3vu","Storms, Typhoons, and Wind Events"
,Streets look like rivers right now. Please avoid traveling if possible.,Coastal & Flooding Hazards
Manila,bukod sa mainit minsan konting ulan bumabaha na sa ibang part sa manila 😭,Pollution
,@Rodwyn31Island Tugnaw jd btaw krun,Cold Weather / Temperature Drops
,Light rain and soft winds�pretty relaxing.,General Weather
,Storm surge alert issued for the eastern coast�monitor updates!,Coastal & Flooding Hazards
"Quezon City, PHILIPPINES","Rainfall Advisory No. 1 #NCR_PRSD Weather System: Southwest Monsoon (Habagat) Issued at: 8:35 PM, 09 June 2025(Monday) Light to moderate with occasional heavy rains are expected over Tarlac. Light to moderate with occasional heavy rains affecting Rizal, Laguna, Metro Manila, https://t.co/jL49SCP4wa",Extreme Heat / Heatwaves
,"Siguro the moment na tumigil na sa pag ssabotage ng success ang twinning na company na yan mag cclear na ang air pollution, tataas ang ekonomiya ng bawat bansa at mawawala na ang inflation which is impossible GWHAHSHSHAHA!!!!",Pollution
,RT @studbob26: He wanted me all over him…. First glimpse of my Monsoon Weather…..🍑🍆☔️💦🤤 @Delhi_NCR_Hotty @faiz_khan_del @Delhi_ka_gabru @fo…,"Storms, Typhoons, and Wind Events"
,May bagong study about PH vulnerability to sea level rise. Link sa bio,Coastal & Flooding Hazards
,Dli lang unta mag uwan unya oyyy,"Storms, Typhoons, and Wind Events"
,"#DelhiNCR weather update: Big relief from scorching heatwave, #IMD predicts thunderstorm, rain on... https://t.co/lSWbtU9cUp",Extreme Heat / Heatwaves
"Quezon City, PHILIPPINES","Heavy Rainfall Warning No. 5 #NCR_PRSD Weather System: Southwest Monsoon (Habagat) Issued at: 5:00 AM, 12 June 2025(Thursday) YELLOW WARNING LEVEL: Zambales and Bataan. ASSOCIATED HAZARD: FLOODING in flood-prone areas. Meanwhile, light to moderate with occasional heavy rains https://t.co/ogEua7XO4U",Pollution
Philippines,"The Intertropical Convergence Zone (ITCZ) will continue to bring cloudy skies with scattered rains and thunderstorms to Mindanao and Eastern Visayas, PAGASA said in its Saturday afternoon weather forecast. Partly cloudy to cloudy skies with isolated rain showers or https://t.co/2QlZ4oRLkd",Pollution
,My sinuses hate this weather so much,General Weather
chengxiaoshi's washing machine,"icl guys this is the only time im ever gonna post about irl stuff cuz there is no way i was like ""oh if its 40 out here in the philippines then 27 is nothing!"" i said as the heat invades my throat and the sahara desert making its new version in my lungs",Pollution
Global monitoring,"Green #earthquake alert (4.8M,depth:39km) in #Philippines 14 Jun 2025 09:27 UTC,Pop100km:270000 - https://t.co/lUEr58XyLn - #GDACSFeedback",Geological Events
,"Partly cloudy weather, perfect for a quick walk.",General Weather
,RT @energynewsasia: LNG contributes to air pollution and health issues in the Philippines. The good news? Renewable energy offers cleaner a…,Pollution
Republic of the Philippines,"Villamil: Dito sa Metro Manila at nalalabing bahagi ng bansa, ang easterlies ang weather system na iiral kaya asahan ang mainit at maalinsangang panahon. Sasamahan lamang 'yan ng mga biglaan at panandaliang pag-ulan na dulot ng thunderstorms.","Storms, Typhoons, and Wind Events"
"Indore, India",RT @UpendrraRai: Delhi NCR continued to experience high temperatures with no rainfall as of 08:30 AM. Safdarjung recorded a maximum #temper…,Extreme Heat / Heatwaves
,Schools should have regular earthquake drills mandatory,Geological Events
"Manila, Philippines",Cagayan De Oro lubog sa baha https://t.co/HamBxQrJvQ via @Remate Online,Coastal & Flooding Hazards
,"One minute okay, next minute hindi na. Ano daw?",General Weather
,"Update sa lebel sa Tubig! As of 06:00PM | June 15, 2025 Source: Installed Flood Monitoring Camera Maayong Gabii! Anaa gihapon sa NORMAL ang lebel sa tubig sa MAGUPISING BRIDGE - TAGUM RIVER. B.E DUJALI. ""Early Warning, Early Action!"" https://t.co/lWgy04XF3N","Storms, Typhoons, and Wind Events"
,"bugnaw man unta pero rag walay hangin, bosettt",Extreme Heat / Heatwaves
"Manila City, National Capital ",Ginaw naman 🥶,Extreme Heat / Heatwaves
,"@BuzzPatterson Walz, our military warriors have slogged through rainforests and swamps in Vietnam, Korea, Burma, Thailand, and the Philippines, they’ll be fine. Walz…trying so hard to remain relevant after his national debut political trouncing. No rain forecast until 8:00 pm…",Pollution
Philippines,State weather bureau PAGASA released a thunderstorm advisory on Sunday morning. Moderate to heavy rain showers with lightning and strong winds are expected over Batangas and Quezon within the next 3 hours. SOURCE: PAGASA-DOST https://t.co/h9QW7p1T6O,"Storms, Typhoons, and Wind Events"
,Pahle weather forecast walon ko koi serious nahi leta tha,Pollution
🎸matz ✰,tornado sirens woke me up. TEXAS KangYeoSang https://t.co/GQ6qa7bUOe,"Storms, Typhoons, and Wind Events"
,@PhilNews24 nakakabilib lang ang dswd laging silang handa pag dating ng mga bagyo at sa mga sunog na nangyayari,"Storms, Typhoons, and Wind Events"
,Panahon before: predictable / Panahon now: surprise!,General Weather
,Heavy rain + high tide = instant flooding in our area.,Coastal & Flooding Hazards
"20↑, he/they || 🇵🇭 en/tag",WOW MUKHANG MAY BAHA,Coastal & Flooding Hazards
Philippines,"The Southwest Monsoon (Habagat) and low pressure area (LPA) will continue to bring rains over parts of Luzon in the next 24 hours, PAGASA said Thursday afternoon. Read more: https://t.co/v8kMqSlTdY","Storms, Typhoons, and Wind Events"
"Negros Oriental, Philippines",@krstnrrae @SB19Official Malayo ang province ko sa Bicol. Nasa Visayas Reg ako pero sana okey ang panahon bukas kasi dito sa amin umulan at malakas ang hangin at nakakangilong kidlat at nakakabinging kalundog. @SB19Official #SB19 #GrupoDuplaInternacionaldoAno #SECAwards,"Storms, Typhoons, and Wind Events"
,RT @weversekatseye: 💌 #SOPHIA 130425 ☀️: i have some cute pics from when we filmed debut in medellin ☀️: 📷x2 ☀️: this was from when we wen…,Pollution
Leafland,"@newryhurler1 @newryhurler1 Filipinos don't need to live in Northern Ireland. They have a whole country with great weather called ""The Philippines"" wow😜crazy I know. Ireland is for Irish people.",Extreme Heat / Heatwaves
,Lamig + Netflix = perfection ?,Cold Weather / Temperature Drops
Philippines,So third world problems naman. Power outage at baha. Haaaays. Saklap maging Pinoy.,Coastal & Flooding Hazards
Diamniadio,RT @Chabadi95: @SalifBA19 Ma ngi sa ginaw,Extreme Heat / Heatwaves
,This is what climate disruption looks like tangina,Cold Weather / Temperature Drops
,Ang lamig parang may amihan kahit summer.,General Weather
"Quezon City, Philippines 1101","#EarthquakePH #EarthquakeSouthernLeyte Earthquake Information No.1 Date and Time: 16 June 2025 - 06:04 AM Magnitude = 2.4 Depth = 027 km Location = 10.10°N, 125.15°E - 005 km N 09° W of San Francisco (Southern Leyte) https://t.co/clEizfC8GN https://t.co/39xOWSQ7DQ",Geological Events
info@feed.org.ph,"Century Properties Joins Reforestation Drive in Sierra Madre, Plants 200 Native Trees On March 15, 2024, 20 dedicated employees from Century Properties Management, Inc. took part in a reforestation effort at the Laguna Quezon Land Grant. https://t.co/4LnI1lr0W5",Pollution
,"RT @ZaynJah13: It’s raining here in Legazpi! Grabe kayo esbi, binigyan kayo at tayo ng mainit at magandang panahon kahapon the whole day. 🥹…","Storms, Typhoons, and Wind Events"
,Rain starting to fall but sun is still out�sunshower!,General Weather
,Weather patterns = reminder that things are changing,General Weather
,Flood control projects dapat priority ng gobyerno pero hindi eh,Coastal & Flooding Hazards
Philippines,#VERAFilesFactCheck: A Facebook page is circulating an alarmist post claiming that Taal Volcano recently erupted and caused a massive tsunami. This is fake. Read more: https://t.co/MrVxMynLYh https://t.co/xyyUNppyDm,Coastal & Flooding Hazards
Republic of the Philippines,"#BantayPanahon: (As of 7:10 am) Asahan ang katamtaman hanggang sa malakas na pag-ulan na may kasamang kidlat at malakas na hangin sa Tarlac, Pampanga, Cavite, Batangas, at Quezon sa loob ng mga susunod na 2 oras. | via @allangatus https://t.co/n3FuOt2uOw","Storms, Typhoons, and Wind Events"
"Manila, Philippines",WEATHER ALERT: Nakataas na ang YELLOW WARNING LEVEL rainfall sa Zambales at Bataan dulot ng southwest monsoon o hanging habagat. | DZRH News https://t.co/chfoBiEMfw,"Storms, Typhoons, and Wind Events"
,"Moderate M5 earthquake 46 km WSW of Sarangani, Philippines at 10 km depth on 2025-06-13 08:13:18 UTC. Did you feel it? Check details: https://t.co/wnW3ybNNi2",Geological Events
,"PANAHON: Asahan ang katamtaman hanggang sa malakas na pag-uulan na may pagkidlat at malakas na hangin sa Laguna, Batangas, Rizal, Metro Manila, Bulacan at Zambales sa susunod na 2 oras, ayon sa latest thunderstorm advisory ng PAGASA nitong Biyernes, Hunyo 13. | via @dost_pagasa https://t.co/TQLJ4VWO7N","Storms, Typhoons, and Wind Events"
"England, United Kingdom","Untag ingani ra ag weather nga permi bugnaw, sig ulan, cloudy, and cold breeze.",Cold Weather / Temperature Drops
,RT @Xiaoo122: Ehh Bumabagyo https://t.co/5iH4TiuJyP,"Storms, Typhoons, and Wind Events"
"Cagayan de Oro City, Ph",@_PaoloManzano Tanawa ang sa 7eleven area bayot. Lunop! Ahahaha,"Storms, Typhoons, and Wind Events"
,Shallow earthquake = mas ramdam sa surface,Geological Events
"Camp Aguinaldo, Quezon City","WEATHER UPDATE | 24-HOUR PUBLIC WEATHER FORECAST Issued at 4:00 PM, 14 June 2025 SYNOPSIS: Intertropical Convergence Zone (ITCZ) affecting Mindanao and Eastern Visayas. Easterlies affecting the rest of the country. Forecast Weather Conditions Area: Mindanao and Eastern Visayas https://t.co/ase4QycNqj",Pollution
Republic of the Philippines,"@richsarr @lumpialogic yes dahil walang baha sa metro manila at ibang lugar sa Pinas. Malinis din at walang basurang lumulutang na basura kasama sa baha sa manila, diba? diba? patawa ka eh",Coastal & Flooding Hazards
,Anyone else feeling sick dahil sa erratic weather? ??,Cold Weather / Temperature Drops
,"@SenImeeMarcos Mas binibigyan nyo oras ang mga Duterte kesa tingnan pano mgawan ng batas ang wage hike, maayos na traffic, pagkontrol sa baha, kakulangan ng classrooms, national security ng bansa. Ang Pilipinas po ay hindi Duterte.",Coastal & Flooding Hazards
