word,language,sumvalue,weight,sentivalue
abelyana,tagalog,-0.553,0.514808,-0.014808
abenida,tagalog,-0.0843,0.570487,-0.070487
abentura,tagalog,-0.3707,0.536464,-0.036464
abenturera,tagalog,Not Found,N/A,N/A
abenturera,tagalog,Not Found,N/A,N/A
abentureraro,tagalog,Not Found,N/A,N/A
abenturero,tagalog,-0.7305,0.493722,0.006278
abenturero,tagalog,-0.7305,0.493722,0.006278
abenturosaso,tagalog,Not Found,N/A,N/A
aberia,tagalog,Not Found,N/A,N/A
aberya,tagalog,-0.6541,0.502798,-0.502798
abestrus,tagalog,-0.4324,0.529134,-0.029134
abgaw,cebuano,Not Found,N/A,N/A
abhak,cebuano,Not Found,N/A,N/A
abhong,cebuano,Not Found,N/A,N/A
abhul,cebuano,Not Found,N/A,N/A
abhung,cebuano,Not Found,N/A,N/A
abi,cebuano,1.2735,0.345801,0.154199
abi,cebuano,1.2735,0.345801,0.345801
abiabi,cebuano,Not Found,N/A,N/A
abiba,cebuano,Not Found,N/A,N/A
abiba abibar,cebuano,Not Found,N/A,N/A
abihid,cebuano,Not Found,N/A,N/A
abilay,cebuano,Not Found,N/A,N/A
abilidad,cebuano,-0.7352,0.241114,0.241114
abilidad,tagalog,-0.0316,0.576747,0.576747
abilyana,cebuano,Not Found,N/A,N/A
abin,cebuano,Not Found,N/A,N/A
abin,cebuano,Not Found,N/A,N/A
abintura,cebuano,Not Found,N/A,N/A
abinturar,cebuano,Not Found,N/A,N/A
abir,cebuano,Not Found,N/A,N/A
abirids,cebuano,Not Found,N/A,N/A
abiriya,cebuano,Not Found,N/A,N/A
abirtu,cebuano,Not Found,N/A,N/A
abis,cebuano,0.4416,0.302445,-0.302445
abis,cebuano,0.4416,0.302445,-0.302445
abiso,tagalog,0.6475,0.65742,-0.15742
abisu,cebuano,Not Found,N/A,N/A
abisuhan,tagalog,0.2379,0.608762,-0.108762
abito,tagalog,-0.7482,0.491619,0.008381
abitsuwelas,cebuano,Not Found,N/A,N/A
abitsuwelas,tagalog,-0.5556,0.514499,-0.014499
abitsuylas,cebuano,Not Found,N/A,N/A
abitswelas,tagalog,Not Found,N/A,N/A
abitu,cebuano,Not Found,N/A,N/A
abiyu,cebuano,Not Found,N/A,N/A
abiyun,cebuano,Not Found,N/A,N/A
abkay,cebuano,Not Found,N/A,N/A
abla,cebuano,Not Found,N/A,N/A
abla,tagalog,Not Found,N/A,N/A
abladu,cebuano,Not Found,N/A,N/A
ablasa,cebuano,Not Found,N/A,N/A
abli,cebuano,-0.466,0.255144,0.255144
abli,cebuano,-0.466,0.255144,0.255144
abli,cebuano,-0.466,0.255144,0.255144
ablihan,cebuano,-0.3455,0.261424,0.238576
ablihan,cebuano,-0.3455,0.261424,0.238576
ablihi,cebuano,Not Found,N/A,N/A
abnormal,tagalog,-0.102,0.568384,-0.568384
abo,cebuano,0.6844,0.315099,0.184901
abo,cebuano,0.6844,0.315099,0.184901
abo,tagalog,-2.5434,0.278359,0.221641
abog,cebuano,0.7763,0.319889,-0.319889
abog,cebuano,0.7763,0.319889,-0.319889
abog,tagalog,-0.9455,0.468181,-0.468181
abogado,cebuano,-0.1035,0.274036,0.225964
abogado,tagalog,-0.3266,0.541703,-0.041703
abogado nga suwitik,cebuano,Not Found,N/A,N/A
abogado nga tikasan,cebuano,Not Found,N/A,N/A
abogasia,tagalog,Not Found,N/A,N/A
abogasya,tagalog,-0.6971,0.497689,0.002311
abok,tagalog,0.0478,0.586179,-0.586179
abokado,cebuano,Not Found,N/A,N/A
abokado,tagalog,-0.625,0.506255,-0.006255
abonado,tagalog,-0.4132,0.531415,-0.031415
abono,tagalog,-1.3934,0.414973,0.085027
abonohan,tagalog,-0.2047,0.556184,-0.056184
aborsiyon,tagalog,-0.4992,0.521199,-0.021199
aborsyon,cebuano,-0.1377,0.272254,0.227746
abot,cebuano,1.1389,0.338787,0.338787
abot,cebuano,1.1389,0.338787,0.338787
abot,cebuano,1.1389,0.338787,0.338787
abot,cebuano,1.1389,0.338787,0.338787
abot,cebuano,1.1389,0.338787,0.338787
abot,tagalog,0.3704,0.624503,0.624503
abot,tagalog,0.3704,0.624503,0.624503
abot,tagalog,0.3704,0.624503,0.624503
abot ng isang kabisa,tagalog,Not Found,N/A,N/A
abot ng isip,tagalog,Not Found,N/A,N/A
abot ng mata,tagalog,Not Found,N/A,N/A
abot ng tanaw,tagalog,Not Found,N/A,N/A
abot ng tingin,tagalog,Not Found,N/A,N/A
abot sa,cebuano,Not Found,N/A,N/A
abot sa yuta,cebuano,Not Found,N/A,N/A
abotdinig,tagalog,Not Found,N/A,N/A
abotisip,tagalog,Not Found,N/A,N/A
abottanaw,tagalog,Not Found,N/A,N/A
abottanaw,tagalog,Not Found,N/A,N/A
abottingin,tagalog,Not Found,N/A,N/A
aboy,tagalog,0.4542,0.634458,-0.134458
abr,cebuano,Not Found,N/A,N/A
abrap,cebuano,Not Found,N/A,N/A
abrasa,cebuano,-0.1041,0.274005,0.225995
abrasador,tagalog,Not Found,N/A,N/A
abrasadur,cebuano,Not Found,N/A,N/A
abrasadurin,tagalog,Not Found,N/A,N/A
abrasete,tagalog,Not Found,N/A,N/A
abrasibo,tagalog,Not Found,N/A,N/A
abrasiti,cebuano,Not Found,N/A,N/A
abrasyiti,cebuano,Not Found,N/A,N/A
abri,cebuano,-0.0451,0.27708,0.22292
abri,cebuano,-0.0451,0.27708,0.22292
abri,cebuano,-0.0451,0.27708,0.22292
abrigana,cebuano,Not Found,N/A,N/A
abrigawu,cebuano,Not Found,N/A,N/A
abrigo,tagalog,-0.1122,0.567172,-0.067172
abrigu,cebuano,Not Found,N/A,N/A
abriguhan,tagalog,Not Found,N/A,N/A
abril,cebuano,1.2134,0.342669,0.157331
abril,cebuano,1.2134,0.342669,0.157331
abril,tagalog,-1.101,0.449708,0.050292
abrilata,cebuano,Not Found,N/A,N/A
abrilata,tagalog,-0.3385,0.540289,-0.040289
abrisete,tagalog,Not Found,N/A,N/A
absen,tagalog,Not Found,N/A,N/A
absent,tagalog,-1.328,0.422742,-0.422742
abses,tagalog,Not Found,N/A,N/A
abseso,tagalog,-0.3416,0.539921,-0.039921
absin,cebuano,Not Found,N/A,N/A
absinus,cebuano,Not Found,N/A,N/A
absisa,tagalog,Not Found,N/A,N/A
abstinensiya,tagalog,0.4629,0.635491,-0.135491
abstinensya,tagalog,0.7256,0.666698,-0.166698
absulbihan,tagalog,Not Found,N/A,N/A
absulusiyun,cebuano,Not Found,N/A,N/A
absulusyon,tagalog,Not Found,N/A,N/A
absulutismo,tagalog,Not Found,N/A,N/A
absulutista,tagalog,Not Found,N/A,N/A
absuluto,tagalog,Not Found,N/A,N/A
absuwelto,tagalog,-0.1097,0.567469,-0.067469
absuweltuhin,tagalog,0.1475,0.598023,-0.098023
absuwiltu,cebuano,Not Found,N/A,N/A
abswelto,tagalog,-0.1094,0.567505,-0.067505
abtik,cebuano,0.5433,0.307746,0.307746
abtik,cebuano,0.5433,0.307746,0.307746
abtik,cebuano,0.5433,0.307746,0.307746
abtik,cebuano,0.5433,0.307746,0.307746
abtik,cebuano,0.5433,0.307746,0.307746
abtik,cebuano,0.5433,0.307746,0.307746
abtik,cebuano,0.5433,0.307746,0.307746
abtik,cebuano,0.5433,0.307746,0.307746
abtik og dila,cebuano,Not Found,N/A,N/A
abtikon,cebuano,Not Found,N/A,N/A
abtung,cebuano,Not Found,N/A,N/A
abu,cebuano,-0.159,0.271144,-0.271144
abuabu,cebuano,Not Found,N/A,N/A
abubhoan,cebuano,Not Found,N/A,N/A
abubot,tagalog,-0.1431,0.563502,-0.563502
abud,cebuano,Not Found,N/A,N/A
abud,cebuano,Not Found,N/A,N/A
abud abud,cebuano,Not Found,N/A,N/A
abug,cebuano,0.9525,0.329072,-0.329072
abug,cebuano,0.9525,0.329072,-0.329072
abug,cebuano,0.9525,0.329072,-0.329072
abugada,cebuano,Not Found,N/A,N/A
abugado,tagalog,-0.3632,0.537355,-0.037355
abugadu,cebuano,Not Found,N/A,N/A
abugagu,cebuano,Not Found,N/A,N/A
abugar,cebuano,Not Found,N/A,N/A
abugasiya,cebuano,Not Found,N/A,N/A
abughu abughu,cebuano,Not Found,N/A,N/A
abugon,cebuano,Not Found,N/A,N/A
abuhan,cebuano,0.244,0.292147,0.207853
abuhan,cebuano,0.244,0.292147,0.207853
abuhan,tagalog,-0.1824,0.558833,-0.058833
abuhin,tagalog,-0.5831,0.511232,0.511232
abuhin,tagalog,-0.5831,0.511232,0.511232
abuhon,cebuano,Not Found,N/A,N/A
abukado,tagalog,-0.5972,0.509557,-0.009557
abukadu,cebuano,Not Found,N/A,N/A
abukay,cebuano,Not Found,N/A,N/A
abukay,cebuano,Not Found,N/A,N/A
abukay,tagalog,-0.2831,0.54687,-0.04687
abuloy,tagalog,-0.2413,0.551836,0.551836
abuluyan,tagalog,-0.4725,0.524371,-0.024371
abuluyan,tagalog,-0.4725,0.524371,-0.024371
abunado,tagalog,0.217,0.606279,-0.106279
abunansiya,cebuano,Not Found,N/A,N/A
abunda,cebuano,-0.5554,0.250485,0.250485
abunda,cebuano,-0.5554,0.250485,0.250485
abunda,cebuano,-0.5554,0.250485,0.250485
abundansiya,cebuano,Not Found,N/A,N/A
abung,cebuano,Not Found,N/A,N/A
abungaw,cebuano,Not Found,N/A,N/A
abungaw,cebuano,Not Found,N/A,N/A
abuno,cebuano,Not Found,N/A,N/A
abuno,cebuano,Not Found,N/A,N/A
abunu,cebuano,Not Found,N/A,N/A
aburido,tagalog,-0.3349,0.540717,-0.540717
aburidu,cebuano,Not Found,N/A,N/A
aburiduhin,tagalog,Not Found,N/A,N/A
abusada,cebuano,Not Found,N/A,N/A
abusada,tagalog,-0.4453,0.527602,-0.527602
abusado,tagalog,-0.14,0.56387,-0.56387
abusadu,cebuano,Not Found,N/A,N/A
abusar,cebuano,Not Found,N/A,N/A
abusera,tagalog,Not Found,N/A,N/A
abusero,tagalog,Not Found,N/A,N/A
abuso,tagalog,-0.5412,0.51621,-0.51621
abusu,cebuano,Not Found,N/A,N/A
abusuhin,tagalog,0.2778,0.613502,-0.613502
abut,cebuano,0.8011,0.321181,0.321181
abutabot,tagalog,Not Found,N/A,N/A
abutabot na paninigarilyo,tagalog,Not Found,N/A,N/A
abutan,tagalog,0.3939,0.627294,0.627294
abutan,tagalog,0.3939,0.627294,0.627294
abutan,tagalog,0.3939,0.627294,0.627294
abutanan,cebuano,Not Found,N/A,N/A
abutin,tagalog,1.4803,0.756353,0.756353
abutin,tagalog,1.4803,0.756353,0.756353
abuwela,tagalog,Not Found,N/A,N/A
abuwelo,tagalog,Not Found,N/A,N/A
abuyaboy,tagalog,Not Found,N/A,N/A
abwag,cebuano,Not Found,N/A,N/A
abyad,tagalog,-0.1504,0.562634,-0.062634
abyador,tagalog,-0.3248,0.541917,-0.041917
abyadur,cebuano,Not Found,N/A,N/A
abyan,cebuano,-0.7866,0.238435,0.261565
abyan,cebuano,-0.7866,0.238435,0.261565
abyan,cebuano,-0.7866,0.238435,0.261565
abyan,cebuano,-0.7866,0.238435,0.261565
abyarin,tagalog,Not Found,N/A,N/A
abyasiyun abyasyun,cebuano,Not Found,N/A,N/A
abyasyon,cebuano,Not Found,N/A,N/A
abyasyon,tagalog,-0.6563,0.502536,-0.002536
abyirtu,cebuano,Not Found,N/A,N/A
abyirtu,cebuano,Not Found,N/A,N/A
abyog,tagalog,Not Found,N/A,N/A
abyug,cebuano,Not Found,N/A,N/A
ad,cebuano,7.3018,0.659978,-0.159978
ad,cebuano,7.3018,0.659978,-0.159978
ad,cebuano,7.3018,0.659978,-0.159978
ada,cebuano,-1.3577,0.208671,-0.208671
ada,cebuano,-1.3577,0.208671,-0.208671
ada,cebuano,-1.3577,0.208671,0.291329
ada,cebuano,-1.3577,0.208671,0.208671
ada,tagalog,-1.3776,0.41685,-0.41685
adad,cebuano,Not Found,N/A,N/A
adan,cebuano,Not Found,N/A,N/A
adarna,tagalog,0.2309,0.607931,0.607931
adat,tagalog,0.5496,0.645791,-0.145791
adbans,cebuano,Not Found,N/A,N/A
adbaysir,cebuano,Not Found,N/A,N/A
adberb,tagalog,0.0042,0.581,-0.081
adberbyo,cebuano,Not Found,N/A,N/A
adberbyo,tagalog,-0.0046,0.579955,-0.079955
adbintista,cebuano,Not Found,N/A,N/A
adbirbiyu,cebuano,Not Found,N/A,N/A
adbiyento,tagalog,-0.1252,0.565628,-0.065628
adbiyintu,cebuano,Not Found,N/A,N/A
address,cebuano,0.2807,0.29406,0.20594
adelantada,tagalog,Not Found,N/A,N/A
adelantado,tagalog,-0.1242,0.565747,0.565747
adelanto,tagalog,Not Found,N/A,N/A
adelpa,tagalog,-0.2065,0.55597,-0.05597
adgaw,cebuano,Not Found,N/A,N/A
adhetibo,cebuano,Not Found,N/A,N/A
adhika,tagalog,0.3869,0.626463,-0.126463
adhikain,tagalog,-0.3146,0.543128,0.543128
adhikain,tagalog,-0.3146,0.543128,0.543128
adia,cebuano,Not Found,N/A,N/A
adik,cebuano,0.7216,0.317038,-0.317038
adik,cebuano,0.7216,0.317038,-0.317038
adik,tagalog,-0.5763,0.51204,-0.51204
adikto,tagalog,-0.4355,0.528766,-0.528766
adilantadu,cebuano,Not Found,N/A,N/A
adilantar,cebuano,Not Found,N/A,N/A
adilantu,cebuano,Not Found,N/A,N/A
adilpa,cebuano,Not Found,N/A,N/A
adimas,cebuano,Not Found,N/A,N/A
adingmasin,cebuano,Not Found,N/A,N/A
adinuwid,cebuano,Not Found,N/A,N/A
adios,cebuano,Not Found,N/A,N/A
adisir adisir,cebuano,Not Found,N/A,N/A
adisyon adisyon,tagalog,Not Found,N/A,N/A
adisyunal,tagalog,0.6428,0.656862,-0.156862
adiyos,cebuano,Not Found,N/A,N/A
adiyos,tagalog,Not Found,N/A,N/A
adiyus adiyus,cebuano,Not Found,N/A,N/A
adlaw,cebuano,1.8247,0.374528,-0.374528
adlaw,tagalog,0.1952,0.60369,-0.60369
adlaw nga natawhan,cebuano,Not Found,N/A,N/A
adlaw sa bagong tuig,cebuano,Not Found,N/A,N/A
adlaw sa kaugalingnan,cebuano,Not Found,N/A,N/A
adlaw sa pahulay,cebuano,Not Found,N/A,N/A
adlaw sa pasalamat,cebuano,Not Found,N/A,N/A
adlaw sunod ugma,cebuano,Not Found,N/A,N/A
adlawadlaw,cebuano,Not Found,N/A,N/A
adlawadlaw,cebuano,Not Found,N/A,N/A
adlawadlaw,cebuano,Not Found,N/A,N/A
adlawon,cebuano,Not Found,N/A,N/A
adlib adlip,cebuano,Not Found,N/A,N/A
adlip,cebuano,Not Found,N/A,N/A
adlip,cebuano,Not Found,N/A,N/A
adlu,cebuano,Not Found,N/A,N/A
administrador,tagalog,-0.5006,0.521033,-0.021033
administradur,cebuano,Not Found,N/A,N/A
administrasiyun,cebuano,Not Found,N/A,N/A
administrasyon,tagalog,0.1279,0.595695,-0.095695
administratibu,cebuano,Not Found,N/A,N/A
admiral,tagalog,0.2453,0.609641,-0.109641
admirante,cebuano,Not Found,N/A,N/A
admirar,cebuano,Not Found,N/A,N/A
admisiyun,cebuano,Not Found,N/A,N/A
admitar,cebuano,Not Found,N/A,N/A
admitidu,cebuano,Not Found,N/A,N/A
admitir,cebuano,Not Found,N/A,N/A
adngan,cebuano,Not Found,N/A,N/A
adobe,tagalog,0.8879,0.685979,-0.185979
adobo,tagalog,-0.6176,0.507134,-0.007134
adobong palaka,tagalog,Not Found,N/A,N/A
adolesens,tagalog,Not Found,N/A,N/A
adolesent,tagalog,Not Found,N/A,N/A
adopsyon,tagalog,Not Found,N/A,N/A
adorador,tagalog,Not Found,N/A,N/A
adorasyon,tagalog,-0.3898,0.534195,-0.034195
adorno,tagalog,0.0691,0.58871,-0.08871
adornohan,tagalog,Not Found,N/A,N/A
adpan,cebuano,Not Found,N/A,N/A
adres,tagalog,1.1165,0.713135,-0.213135
adresan,tagalog,Not Found,N/A,N/A
adris,cebuano,Not Found,N/A,N/A
adto,cebuano,-0.0147,0.278664,0.221336
adtu,cebuano,Not Found,N/A,N/A
adtu,cebuano,Not Found,N/A,N/A
adtut,cebuano,Not Found,N/A,N/A
adubadu,cebuano,Not Found,N/A,N/A
adubawu,cebuano,Not Found,N/A,N/A
adubawu,cebuano,Not Found,N/A,N/A
adubi,cebuano,Not Found,N/A,N/A
adubu,cebuano,Not Found,N/A,N/A
adul,cebuano,Not Found,N/A,N/A
adult,tagalog,1.1225,0.713848,-0.213848
adulterado,tagalog,Not Found,N/A,N/A
adulterasyon,tagalog,-0.0012,0.580359,-0.080359
adultiryu,cebuano,Not Found,N/A,N/A
adulto,tagalog,1.0062,0.700032,-0.200032
adun,cebuano,Not Found,N/A,N/A
aduna,cebuano,0.7803,0.320097,0.320097
aduna,cebuano,0.7803,0.320097,0.320097
aduna,cebuano,0.7803,0.320097,0.320097
aduna,cebuano,0.7803,0.320097,0.320097
aduna,cebuano,0.7803,0.320097,0.320097
aduna,cebuano,0.7803,0.320097,0.320097
aduna,cebuano,0.7803,0.320097,0.320097
aduna,cebuano,0.7803,0.320097,0.320097
adunahan,cebuano,0.5083,0.305922,0.305922
adunahan,cebuano,0.5083,0.305922,0.305922
adunahan,cebuano,0.5083,0.305922,0.305922
adunahan,cebuano,0.5083,0.305922,0.305922
adunahan,cebuano,0.5083,0.305922,0.305922
adunay,cebuano,2.3886,0.403917,0.096083
adunay,cebuano,2.3886,0.403917,0.096083
adunay,cebuano,2.3886,0.403917,0.096083
adunay,cebuano,2.3886,0.403917,0.096083
adunay gibati,cebuano,Not Found,N/A,N/A
adunay gibati,cebuano,Not Found,N/A,N/A
aduptar,cebuano,Not Found,N/A,N/A
adurno,cebuano,Not Found,N/A,N/A
adurno,cebuano,Not Found,N/A,N/A
adurnu,cebuano,Not Found,N/A,N/A
adwana,cebuano,Not Found,N/A,N/A
adwana,tagalog,-0.5754,0.512147,-0.012147
adya,tagalog,0.1905,0.603131,0.603131
adyaks,cebuano,Not Found,N/A,N/A
adyas,cebuano,Not Found,N/A,N/A
adyenda,tagalog,-0.0477,0.574835,-0.074835
adyinda,cebuano,Not Found,N/A,N/A
adyinumutu,cebuano,Not Found,N/A,N/A
adyo,tagalog,Not Found,N/A,N/A
adyos,cebuano,Not Found,N/A,N/A
adyos,cebuano,Not Found,N/A,N/A
adyos,tagalog,Not Found,N/A,N/A
adyusan,tagalog,Not Found,N/A,N/A
adyusan,tagalog,Not Found,N/A,N/A
aeroplano,tagalog,-0.1076,0.567719,-0.067719
aerostatiko,tagalog,Not Found,N/A,N/A
ag,cebuano,2.6497,0.417525,-0.417525
aga,tagalog,0.4578,0.634885,-0.134885
agaab,cebuano,Not Found,N/A,N/A
agaak,cebuano,Not Found,N/A,N/A
agaak,cebuano,Not Found,N/A,N/A
agaas,tagalog,Not Found,N/A,N/A
agad,cebuano,0.09,0.284121,0.284121
agad,tagalog,-1.0194,0.459402,-0.459402
agad,tagalog,-1.0194,0.459402,-0.459402
agad sa panahon,cebuano,Not Found,N/A,N/A
agadad,cebuano,Not Found,N/A,N/A
agadad,cebuano,Not Found,N/A,N/A
agadagad,cebuano,Not Found,N/A,N/A
agadagad,tagalog,Not Found,N/A,N/A
agadto padulong,cebuano,Not Found,N/A,N/A
agag,cebuano,0.5183,0.306443,0.193557
agag,cebuano,0.5183,0.306443,0.193557
agag,tagalog,Not Found,N/A,N/A
agagan,tagalog,Not Found,N/A,N/A
agahad,cebuano,Not Found,N/A,N/A
agahan,tagalog,-0.0259,0.577424,-0.077424
agahan,tagalog,-0.0259,0.577424,-0.077424
agahas agahas,tagalog,Not Found,N/A,N/A
agak,cebuano,Not Found,N/A,N/A
agak,cebuano,Not Found,N/A,N/A
agakak,cebuano,Not Found,N/A,N/A
agalon,cebuano,1.1789,0.340871,0.340871
agalon,cebuano,1.1789,0.340871,0.340871
agalon,cebuano,1.1789,0.340871,0.340871
agalon,cebuano,1.1789,0.340871,0.340871
agalun,cebuano,Not Found,N/A,N/A
agamagam,tagalog,0.1557,0.598997,-0.598997
agamagam,tagalog,0.1557,0.598997,-0.598997
agamagamin,tagalog,Not Found,N/A,N/A
agamahan,tagalog,Not Found,N/A,N/A
aganan,cebuano,Not Found,N/A,N/A
agang,cebuano,Not Found,N/A,N/A
agangagang,cebuano,Not Found,N/A,N/A
agap,cebuano,Not Found,N/A,N/A
agap,tagalog,0.155,0.598914,0.598914
agap,tagalog,0.155,0.598914,0.598914
agapan,tagalog,-0.4524,0.526758,0.526758
agapang,cebuano,Not Found,N/A,N/A
agapay,tagalog,0.5767,0.64901,-0.14901
agapayanan,tagalog,Not Found,N/A,N/A
agapayang kabit,tagalog,Not Found,N/A,N/A
agapayang salikop,tagalog,Not Found,N/A,N/A
agara,cebuano,Not Found,N/A,N/A
agaran,tagalog,-0.4114,0.531629,-0.031629
agaray,cebuano,Not Found,N/A,N/A
agarin,tagalog,Not Found,N/A,N/A
agas,cebuano,-0.3738,0.259949,-0.259949
agas,cebuano,-0.3738,0.259949,-0.259949
agas,cebuano,-0.3738,0.259949,-0.259949
agas,cebuano,-0.3738,0.259949,-0.259949
agas,cebuano,-0.3738,0.259949,-0.259949
agas,tagalog,-1.3387,0.421471,-0.421471
agasas,tagalog,Not Found,N/A,N/A
agasas,tagalog,Not Found,N/A,N/A
agata,tagalog,-0.1161,0.566709,-0.066709
agatat,tagalog,Not Found,N/A,N/A
agaw,cebuano,Not Found,N/A,N/A
agaw,cebuano,Not Found,N/A,N/A
agawan,cebuano,Not Found,N/A,N/A
agawan,tagalog,0.8515,0.681655,-0.681655
agawan,tagalog,0.8515,0.681655,-0.681655
agawaw,tagalog,Not Found,N/A,N/A
agawbuhay,tagalog,Not Found,N/A,N/A
agawdilim,tagalog,Not Found,N/A,N/A
agawin,tagalog,1.1051,0.711781,-0.711781
agawtulog,tagalog,Not Found,N/A,N/A
agawun,cebuano,Not Found,N/A,N/A
agay,cebuano,Not Found,N/A,N/A
agay,cebuano,Not Found,N/A,N/A
agay,cebuano,Not Found,N/A,N/A
agay,cebuano,Not Found,N/A,N/A
agay,cebuano,Not Found,N/A,N/A
agay,cebuano,Not Found,N/A,N/A
agay uy,cebuano,Not Found,N/A,N/A
agayay,cebuano,Not Found,N/A,N/A
agayay,tagalog,Not Found,N/A,N/A
agbat,cebuano,Not Found,N/A,N/A
agbati,cebuano,Not Found,N/A,N/A
agbaw,cebuano,Not Found,N/A,N/A
agbay,cebuano,Not Found,N/A,N/A
agbun,cebuano,Not Found,N/A,N/A
agda,cebuano,Not Found,N/A,N/A
agda,cebuano,Not Found,N/A,N/A
agda,cebuano,Not Found,N/A,N/A
agdul,cebuano,Not Found,N/A,N/A
agh,cebuano,0.767,0.319404,-0.319404
aghad,cebuano,Not Found,N/A,N/A
agham,cebuano,Not Found,N/A,N/A
agham,tagalog,-0.1068,0.567814,-0.067814
agham politiko,tagalog,Not Found,N/A,N/A
aghat,cebuano,0.3714,0.298787,0.298787
aghat,cebuano,0.3714,0.298787,0.298787
aghat,cebuano,0.3714,0.298787,0.298787
aghat,cebuano,0.3714,0.298787,0.298787
aghimo,tagalog,0.18,0.601884,-0.101884
aghimuan,tagalog,-0.0148,0.578743,-0.078743
aghimuin,tagalog,Not Found,N/A,N/A
aghud,cebuano,Not Found,N/A,N/A
aghup,cebuano,Not Found,N/A,N/A
aghuy,cebuano,Not Found,N/A,N/A
aghuy,cebuano,Not Found,N/A,N/A
agi,cebuano,1.3883,0.351784,-0.351784
agi sa kamot,cebuano,Not Found,N/A,N/A
